PRECINCT	DEM	REP	TOTAL
bogu	367	1269	1655
merr	149	233	384
abch	260	820	1088
dasw	86.0	341.0	429.0
hais	149	627	778
ibsp	81	139	222
bft1	556	433	1003
bft2	905	1384	2314
pele	193	581	780
npt1	657	1587	2282
mcrk	47	298	350
wiha	237.0	732.0	997.0
cccp	427	1552	2004
atcs	272.0	546.0	823.0
mhd4	511	1506	2038
mhd3	691	1674	2390
mhd2	690	1052	1771
stel	163	612	793
npt2	364	1375	1769
mhd1	577	951	1545
bcrk	319	1001	1331
otbe	248.0	1095.0	1351.0
masm	177.0	427.0	615.0
nriv	327	159	491
pknl	306	702	1014
wild	636	1592	2254
emis	679	1642	2336
