PRECINCT	DEM	REP	TOTAL
30	1010	1443	2486
02	369	1129	1520
03	448	1023	1493
26	477	848	1339
01	466	1776	2279
06	452	1146	1614
07	850	1088	1969
04	257	244	509
05	760	1201	1992
08	526	1253	1811
09	376	1233	1628
28	727	1363	2113
29	418	1218	1659
40	487	582	1094
41	518	1641	2180
14	440	705	1165
24	783	1961	2783
25	574	666	1267
39	436	1257	1709
27	599	1803	2442
20	677	1457	2169
38	676	1407	2107
21	280	854	1147
11	369	370	749
10	284	120	411
13	595	330	937
12	952	199	1161
15	633	5	642
22	738	1409	2182
17	442	541	1003
16	760	720	1507
19	291	447	747
32	853	1100	1989
31	701	2092	2836
23	849	1885	2775
37	717	886	1632
36	553	1082	1648
35	604	875	1510
34	969	2319	3324
33	1148	2856	4064
