PRECINCT	DEM	REP	TOTAL
bethwr	320	812	1147
mrb-yo	241	715	967
h spgs	125.0	319.0	449.0
latt	414	1296	1730
km s	1119.0	1618.0	2766.0
kingst	486	222	713
b spgs	792.0	1813.0	2645.0
mulls	289	925	1237
shangi	602	1216	1841
km n	1229.0	1745.0	3000.0
polkvl	368	1095	1479
oakgrv	518.0	1565.0	2100.0
casar	108	744	874
falstn	191	832	1042
s 1	893.0	469.0	1368.0
s 2	995.0	1252.0	2274.0
s 3	726.0	448.0	1186.0
s 4	1071.0	614.0	1694.0
s 5	901.0	862.0	1779.0
s 6	1102.0	877.0	1993.0
s 7	857.0	1033.0	1915.0
s 8	768.0	788.0	1568.0
waco	801	1265	2086
lawndl	652	557	1224
grover	613	1311	1951
rippy	881	1400	2312
