PRECINCT	DEM	REP	TOTAL
g2e-2	1706.0	249.0	1971.0
ah49	1514	617	2146
g2e-1	1175.0	220.0	1405.0
cl57-1	1500.0	503.0	2017.0
cl57-2	1481.0	390.0	1882.0
cc12	280	988	1283
lr63	1953	576	2549
cc13	1696	54	1753
cc34	560	885	1452
g10a	1246.0	1630.0	2903.0
g10b	871.0	784.0	1675.0
g10c	666.0	1249.0	1927.0
g5b-1	1813.0	194.0	2016.0
g5b-2	1320.0	301.0	1633.0
g2c-1	920.0	688.0	1636.0
cu02	743	610	1368
g3a-1	1575.0	632.0	2229.0
cc10	485	315	810
g2c-2	867.0	859.0	1751.0
g5a-1	1321.0	467.0	1801.0
g5c	1082.0	522.0	1620.0
cc19	702	9	713
li65	776	1359	2167
g7a	288.0	636.0	936.0
g9a	847.0	954.0	1824.0
g7b	224.0	617.0	848.0
g1b	1135.0	1573.0	2724.0
g1a	1101.0	396.0	1510.0
g5a-2	884.0	607.0	1504.0
cc21	1689	591	2297
g3c	412.0	479.0	901.0
g3b	413.0	286.0	705.0
cc24	463	359	832
cc25	687	488	1197
cc26	1672	531	2221
cc27	1826	469	2316
cc06	385	441	835
cc07	289	503	801
cc04	383	379	777
cc05	1318	125	1453
al51	995	1812	2834
cc01	1369	163	1541
g8d	901.0	1000.0	1942.0
cc14	743	1240	2000
g8a	1353.0	756.0	2134.0
g8b	676.0	658.0	1342.0
g8c	968.0	556.0	1544.0
eo61-2	574	780	1364
g9b-1	1219.0	1147.0	2389.0
g9b-2	1121.0	1109.0	2245.0
eo61-1	655	1326	1993
g11b	1018.0	698.0	1745.0
sh77	640	925	1577
cc31	810	511	1341
cc29	1050	438	1504
cc18	394	783	1187
g3a-2	842.0	595.0	1455.0
cc08	325	703	1034
g4a	594.0	481.0	1083.0
g4b	583.0	678.0	1273.0
g4c	802.0	292.0	1107.0
g6b	268.0	600.0	874.0
g6c	654.0	766.0	1439.0
g6a	753.0	1844.0	2624.0
cc03	502	145	651
cc33	1022	602	1642
cc32	732	141	881
g2d	1293.0	1240.0	2557.0
g2b	1799.0	1004.0	2826.0
g2a	1875.0	937.0	2832.0
g11a-2	1233.0	329.0	1575.0
g11a-1	1317.0	334.0	1675.0
mr02	1183	569	1769
cc15	706	1136	1856
mb62	1302	314	1626
cc17	1656	176	1838
cc16	1582	22	1611
