PRECINCT	DEM	REP	TOTAL
09	1741	352	2109
30-1	3277	1311	4629
28	1196	1498	2729
22	3474	222	3709
29	1950	1094	3064
36	1658	436	2132
32	937	985	1952
02	2155	281	2462
03	1173	201	1391
26	477	668	1155
01	815	95	917
06	1192	206	1415
07	1363	210	1597
48	1072	375	1464
05	3288	494	3810
46	1966	495	2491
47	1562	29	1591
08	1433	91	1539
45	2388	1677	4123
42	1068	24	1094
43	3194	1474	4717
40	1388	200	1608
41	1260	54	1317
30-2	4448	777	5269
35.3	3988.0	2073.0	6255.0
24	1879	1088	2982
25	1269	1268	2559
34-2	3220.0	613.0	3913.0
34-1	1919.0	538.0	2576.0
53-2	1816	928	2774
53-1	1590	760	2383
27	1579	738	2345
20	1296	136	1458
13	976	14	990
14	1342	94	1444
10	777	13	793
39	1799	1070	2897
38	3203	873	4136
15	913	80	996
04	1001	222	1242
17	1884	49	1939
16	1227	427	1676
19	1927	255	2197
54	4115	1072	5266
31	1666	1041	2742
23	3768	592	4383
51	2925	1051	4037
21	1160	235	1411
52	2347	283	2651
33	3382	1024	4473
55	3988	45	4053
37	2305	1469	3824
18	1467	56	1526
12	506	17	523
44	2885	2028	4987
50	1777	927	2747
