PRECINCT	DEM	REP	TOTAL
091	458	1049	1518
092	332	943	1294
133	1311	2617	3979
011	1239	2005	3283
012	439	1403	1869
013	1074	1691	2791
014	437	1068	1529
015	412	927	1353
405	1940	13	1958
404	1373	138	1519
403	1217	41	1259
402	1163	4	1167
401	1244	73	1318
122	1953	1611	3594
123	908	1062	1988
021	598	1907	2525
132	992	1628	2645
131	913	1416	2359
708	1525	1273	2820
709	1044	830	1893
704	808	508	1335
705	938	525	1478
706	554	379	945
707	565	435	1011
701	481	589	1078
702	762	444	1222
703	553	337	902
111	334	924	1273
112	790	1276	2091
032	634	1151	1803
033	969	702	1688
031	612	836	1462
034	540	932	1487
301	754	5	762
302	810	23	834
303	616	2	619
304	1662	21	1687
305	1105	14	1119
306	994	124	1125
101	889	796	1696
043	880	930	1823
042	1007	1053	2077
902	847	236	1106
903	1340	979	2339
901	757	595	1371
906	1172	1082	2270
907	786	627	1433
904	1276	346	1638
905	905	531	1453
908	895	1318	2229
909	512	492	1015
601	927	333	1274
607	991	739	1742
606	765	424	1203
054	715	1345	2076
055	802	1540	2360
051	676	1284	1988
052	335	607	956
053	486	1075	1578
602	1778	1120	2932
506	635	439	1086
507	2154	1274	3455
504	834	108	945
505	986	224	1219
502	1063	31	1096
503	883	125	1022
501	1448	104	1554
061	617	857	1492
063	870	1941	2836
062	514	940	1471
065	891	1868	2783
064	324	498	828
067	531	735	1289
066	472	1082	1577
068	588	1247	1858
605	1760	796	2572
604	772	237	1022
074	959	1188	2170
075	139	358	500
072	1371	2467	3872
073	621	1604	2246
603	1068	305	1401
071	926	1741	2695
201	2460	409	2889
203	1222	17	1240
205	610	2	613
204	1030	74	1111
207	1246	263	1515
206	1160	109	1273
083	1133	494	1640
082	1738	1294	3053
081	1362	832	2222
809	881	1250	2145
808	1446	778	2243
803	428	991	1429
802	474	778	1254
801	527	486	1023
807	640	836	1489
806	553	902	1463
805	765	1117	1899
804	428	589	1029
