PRECINCT	DEM	REP	TOTAL
rr 10	573.0	1362.0	1959.0
rr 11	548.0	1091.0	1653.0
wel 1	592.0	135.0	738.0
butwd	159	114	277
conc	202	64	267
rr 9	813.0	481.0	1305.0
enf1	986.0	357.0	1362.0
lit 2	419.0	889.0	1313.0
wel 3	819.0	362.0	1189.0
lit 1	997.0	351.0	1351.0
fauct	416	452	872
ringw	977	88	1066
hpr	765.0	589.0	1362.0
hol	1461	98	1563
rr 3	232.0	684.0	935.0
rr 4	227.0	762.0	997.0
rr 5	178.0	484.0	678.0
rr 6	170.0	557.0	738.0
rr 7	430.0	189.0	621.0
rr 8	224.0	475.0	711.0
rr1-2	335.0	686.0	1054.0
enf 2	492.0	105.0	597.0
wel 2	278.0	219.0	497.0
hal	769	202	974
sn	1389	432	1830
