PRECINCT	DEM	REP	TOTAL
em	175	594	774
cc1	1390	2314	3764
cd	806	2263	3117
dv1-a	1169	3099	4317
dv1-b	1497	4503	6049
cs	586	1168	1777
cc2	1696	1975	3722
nh	163	646	833
cc4	1241	2615	3912
ch-b	578	1108	1709
cc3	1833	3130	5038
ch-a	731	1041	1788
st4	958	1179	2161
st5	1199	957	2178
st6	1609	784	2409
st1	1106	1551	2689
st2	932	995	1942
st3	1457	781	2257
tb	559	979	1562
be	976	2590	3616
ft	1401	3363	4832
ba	890	1889	2849
sh-b	482	1571	2089
sh-a	528	1534	2096
ol	186	710	908
dv2-b	798	1919	2741
dv2-a	702	2230	2962
sb	246	1003	1268
ug	182	808	1006
