PRECINCT	DEM	REP	TOTAL
lw18	253	481	746
dv08	479	1191	1708
lw31	601	1408	2035
bc13	396	473	884
ls12	597	528	1142
cr06	243	314	571
wp32	814	2166	3001
ln11	557	443	1015
sl24	350	844	1211
cf19	241	901	1158
lm16	277	561	846
as25	441	1171	1628
hv07	452	1074	1553
ob21	289	1175	1484
is23	517	1069	1603
is20	270	815	1107
pc22	378	1199	1599
ls15	186	704	910
li14	352	700	1061
bs26	490	787	1292
og10	294	794	1106
tr30	271	545	824
dn29	429	1314	1762
nb09	455	1183	1664
nb03	180	671	861
hg17	415	566	992
te27	367	1031	1414
dw28	427	1158	1594
