PRECINCT	DEM	REP	TOTAL
vss	463	767	1246
pha2	255.0	1016.0	1280.0
pha1	706.0	1946.0	2674.0
nsp	733	892	1654
rbn	234	587	826
wab	1076	1290	2392
wem	297	1175	1478
ewd	386	658	1054
dhr	289	934	1232
eur	661	1927	2610
wnd	624	923	1567
phc	935	1960	2915
eab	779	822	1610
ssp	1550	759	2314
ekwd	239.0	492.0	750.0
ltr	557	1149	1719
ben	490	985	1485
tlt	355	104	462
phb2	378	1282	1670
car	1222	2078	3353
phb1	702	1420	2132
sls	894	2213	3143
pdn	899	1535	2461
pbf	723	813	1548
cam	530	1039	1589
wkwd	315.0	867.0	1204.0
