PRECINCT	DEM	REP	TOTAL
0040a	1676.0	1413.0	3151.0
0004	321	1670	2011
0015	2464	2647	5140
0039	649	1251	1905
0012	207	449	660
0011	1302	901	2223
0035	838	1584	2439
0034	2158	376	2540
0037	1329	1344	2689
0036	1038	1095	2158
0031	677	156	839
0033	1454	200	1660
0032	875	429	1310
0007	1078	420	1504
0038	1381	669	2065
0003	503	493	1009
0022	443	296	742
0005	600	786	1406
0006	444	799	1259
0021	526	157	685
0026	440	1846	2300
0001	709	1169	1897
0002	490	356	851
0025	1069	1933	3020
0041	352	668	1022
0042	541.0	319.0	882.0
0008	448	745	1197
