PRECINCT	DEM	REP	TOTAL
dm	1572	334	1943
ch	837	152	1006
co	1678	287	2003
eh	1435	287	1745
cc	1261	485	1796
cb	1114	162	1309
ca	400	380	790
ef	708	760	1496
cg	598	541	1156
cf	1298	463	1782
cx	1765	1556	3372
gb	1527	875	2441
cp	1208	1065	2309
cw	750	1288	2065
es	1018	222	1256
gr	1273	346	1662
gl	1217	532	1778
lc	1685	179	1901
nc	1574	367	1959
eno	938	924	1906
to	556	503	1070
rf	1238	385	1655
pa	2394	1064	3503
th	1437	78	1542
ns	1320	259	1618
wd	2065	437	2541
wc	853	469	1345
bc	1221	322	1566
ea	937	300	1273
da	1710	430	2157
ww	860	212	1092
bp	603	143	766
li	1073	432	1542
wh	1437	447	1916
hf	2014	641	2694
mf	1704	459	2228
og	1569	981	2598
h	626	157	797
km	1200	430	1648
sj	1843	437	2300
sm	996	1100	2134
ow	1592	159	1797
cs1	797	489	1300
