PRECINCT	DEM	REP	TOTAL
0101	1391	1201	2616
1301	198	541	741
1403a1	767.0	1434.0	2241.0
1513b	650.0	1094.0	1774.0
1513a	802.0	1234.0	2071.0
1403a2	841.0	920.0	1787.0
1201	1430	1282	2730
1511b	1190	1174	2394
0401	818	479	1307
0200b	1140	582	1736
0501	374	545	932
0200a	766	1154	1950
1503	1684	207	1904
1501	813	44	859
1507b	831	468	1322
1507	1527	1007	2584
1102b	853	1750	2625
1102a	902	1303	2229
1509	1676	1447	3161
1505a	1334	414	1760
0301	2036	821	2866
1511a	921	1562	2497
1101	446	462	914
1510b	886	1175	2080
1510a	662	1115	1797
1403b	1748	2024	3801
0901	269	339	612
1512a	1921	1459	3403
1512b	964	655	1646
0800a	915	856	1782
1508b	622	504	1161
1508a	543	367	930
0800b	822	687	1521
1504b	1792.0	972.0	2807.0
1504a	1857.0	270.0	2145.0
0601	748	2365	3136
1505b	1925	96	2027
1506	953	276	1243
0701	495	949	1453
1001	911	1165	2092
