PRECINCT	DEM	REP	TOTAL
30	254	1273	1541
02	267	1092	1378
03	532	1875	2435
26	300	1273	1596
01	302	1232	1552
06	603	855	1476
07	529	831	1380
04	407	1202	1625
05	949	560	1524
08	412	504	929
09	257	655	921
28	303	1058	1377
29	391	1755	2169
40	247	865	1130
14	137	584	724
24	115	445	565
25	210	1042	1270
39	381	1854	2262
27	39	244	285
20	318	1029	1365
38	376	2180	2583
21	537	1870	2432
11	318	899	1233
10	470	804	1289
13	325	1651	1999
12	356	947	1317
15	438	1396	1848
22	414	1085	1514
17	224	847	1086
16	332	1486	1835
19	275	1090	1384
18	210	982	1202
31	648	1162	1830
23	714	1099	1834
37	320	1212	1551
36	274	1446	1746
35	301	1042	1356
34	377	1274	1681
33	283	636	935
32	600	1767	2401
