PRECINCT	DEM	REP	TOTAL
02	926	302	1246
03	372	693	1071
26	1189	274	1476
01	306	216	526
06	496	95	591
07	372	125	505
22	1301	594	1933
05	1139	611	1757
23	1055	758	1848
08	315	687	1008
09	425	353	787
28	319	235	563
29	840	255	1101
40	219	149	368
41	667	1161	1829
14	462	301	774
24	326	220	551
11a	165.0	212.0	383.0
25	516	327	854
13	579	517	1106
27	356	281	650
20	376	354	740
21	763	621	1395
11	1265	2339	3623
10	392	267	666
39	513	292	819
18a	452	697	1161
15	770	75	848
04	562	482	1054
17	288	80	376
38	141	118	262
19	1538	356	1904
32	564	567	1139
31	943	757	1710
30	645	473	1146
37	70	301	373
36	459	269	735
35	524	486	1035
34	337	291	654
33	175	100	290
16	1091	25	1119
12	940	406	1353
