PRECINCT	DEM	REP	TOTAL
09	250	1096	1364
42	1203	11	1218
14a	835.0	2154.0	3030.0
02	420	439	868
03	299	1337	1664
26	237	956	1218
01	218	968	1214
07	538	737	1288
04	481	2098	2613
23	208	792	1014
08	750	1490	2270
45	474	433	921
28	890	583	1502
29	210	628	848
40	1019	823	1865
41	1015	806	1832
24	217	665	892
25	459	1809	2307
05a	716.0	1937.0	2716.0
27	285	606	903
19a	639.0	2019.0	2696.0
13	246	1036	1297
21	671	1148	1845
11	665	1276	1981
10	384	1388	1805
39	632	675	1319
38	1384	583	1986
15	544	1571	2139
22	119	451	573
17	508	871	1406
16	423	694	1137
33	171	997	1191
18	688	30	719
31	295	730	1044
30	524	806	1352
36	1232	568	1813
35	543	253	811
34	993	707	1733
32	332	757	1103
12	606	590	1210
44	327	1257	1605
