PRECINCT	DEM	REP	TOTAL
005	750	1249	2025
004	834	123	962
010	640	244	900
011	260	1414	1697
012	246	1402	1657
013	268	1575	1870
014	333	601	951
015	1002	1850	2894
016	848	1859	2740
033	542	1158	1725
032	610	1582	2212
019	947	1965	2954
030	1088	1701	2809
031	938	1304	2279
036	482	920	1415
009	742	303	1054
034	676	1518	2220
035	394	1021	1444
029a	1353	1426	2823
029c	450	976	1451
029b	440	787	1250
037b	269	824	1101
037a	1036	1574	2662
018	462	1459	1940
003	448	305	756
002	843	368	1219
001	556	177	739
026	359	868	1241
007	788	1315	2149
006	331	923	1268
023	443	917	1379
022	287	1443	1759
017a	677	1486	2190
017b	694	1898	2622
008	1173	628	1831
043	669	73	743
042	456	771	1249
041	604	1678	2299
040	717	1892	2631
025	396	915	1323
020b	560	1412	2006
024	367	1175	1562
020a	943	1273	2243
027	335	903	1255
039	291	1100	1403
038a	915	1240	2195
021	372	1191	1585
028d	766.0	1593.0	2376.0
028a	977.0	1990.0	2988.0
028b	642.0	1875.0	2529.0
028c	681.0	1734.0	2424.0
038b	573	1129	1729
