PRECINCT	DEM	REP	TOTAL
06s	756	1131	1887
10n	1010	1419	2429
09n	599	803	1402
06w	347	269	616
08s	311	698	1009
063	983	525	1508
12n	1768	286	2054
12s	497	181	678
06e	764	649	1413
08n	680	1163	1843
12w	722	610	1332
10s	2557	2175	4732
035	959	1490	2449
02	458	1910	2368
01	487	1795	2282
07	490	1613	2103
04	684	1946	2630
05	386	1374	1760
06n	830	417	1247
1210	619	565	1184
03n	946	1206	2152
064	1102	1753	2855
03c	654	1121	1775
09s	1170	1692	2862
03n2	283	235	518
124	558	672	1230
125	531	829	1360
126	548	806	1354
127	1831	630	2461
128	770	329	1099
03s	1743	2071	3814
03w	679	1181	1860
129	389	763	1152
11	1176	1010	2186
13	1091	951	2042
103	680	1215	1895
12e	562	312	874
