PRECINCT	DEM	REP	TOTAL
03-00	1196	2245	3441
11-02	614	1413	2027
10-00	929	2578	3507
05-00	471	1438	1909
04-10	944	1431	2375
01-10	812	1140	1952
11-01	1521	1602	3123
12-09	574	974	1548
06-00	295	1189	1484
12-08	402	425	827
12-03	618	773	1391
12-02	742	339	1081
12-01	231	151	382
12-07	766	70	836
12-06	547	485	1032
12-05	569	918	1487
12-04	817	779	1596
02-06	1182	1050	2232
02-07	763	1415	2178
02-05	1067	1762	2829
02-02	1276	1704	2980
02-03	1490	2371	3861
02-01	744	1070	1814
02-08	2072	2401	4473
02-09	2229	2037	4266
08-00	654	1948	2602
12-10	300	524	824
07-00	153	630	783
12-11	516	580	1096
09-00	344	1412	1756
04-08	398	646	1044
04-09	702	1375	2077
12-12	549	753	1302
04-04	512	443	955
04-05	480	529	1009
04-06	602	576	1178
04-07	365	780	1145
04-01	953	900	1853
04-02	979	686	1665
04-03	924	939	1863
01-09	227	509	736
01-08	1195	1418	2613
01-02	526	1198	1724
01-07	640	1251	1891
01-06	1112	1294	2406
01-04	1574	1751	3325
