PRECINCT	DEM	REP	TOTAL
bogu	410	1542	1952
atsl	150	283	433
dasw	134	359	493
hais	172	572	744
ibsp	100	153	253
cisl	59	71	130
bft1	636	431	1067
bft2	1006	1362	2368
pele	182	625	807
npt1	681	1637	2318
merr	137	229	366
mcrk	76	281	357
wiha	401	896	1297
cccp	488	1664	2152
mhd4	591	1436	2027
mhd3	736	1638	2374
mhd2	686	1097	1783
stel	211	771	982
npt2	414	1455	1869
mhd1	631	1069	1700
bcrk	340	998	1338
emis	747	1745	2492
masm	152	338	490
nriv	296	172	468
pknl	349	629	978
wild	688	1627	2315
otbe	376	996	1372
abch	275.0	792.0	1067.0
