PRECINCT	DEM	REP	TOTAL
45	2550	1476	4026
54	4326	876	5202
35.3	5073	1525	6598
48	1158	288	1446
43	3816	1195	5011
55-49	1880	33	1913
42	920	18	938
02	2001	295	2296
03	1607	235	1842
26	470	625	1095
01	834	75	909
06	1384	136	1520
07	1518	174	1692
04	1125	168	1293
05	2893	511	3404
46	1953	441	2394
47	1314	45	1359
08	1632	106	1738
09	1821	297	2118
28	1265	1447	2712
29	2123	953	3076
40	1457	152	1609
41	1050	19	1069
30-2	4564	888	5452
14	1328	103	1431
51	3450	832	4282
24	2016	849	2865
34-1	2063	300	2363
25	1222	1272	2494
34-2	3619	385	4004
30-1	4413	1598	6011
39	1862	869	2731
53-1	1827	571	2398
53-2	2299	775	3074
27	1773	684	2457
20	1503	83	1586
38	3615	947	4562
21	1194	170	1364
10	837	45	882
13	781	23	804
12	470	22	492
15	848	70	918
22	3251	201	3452
17	1778	84	1862
16	1331	342	1673
19	1969	245	2214
18	1379	70	1449
31	2282	870	3152
23	3890	490	4380
37	2486	1476	3962
36	1834	289	2123
52	2187	201	2388
33	3881	1204	5085
55-11	1255	28	1283
32	1342	1479	2821
44	3068	2003	5071
50	2222	690	2912
