PRECINCT	DEM	REP	TOTAL
091	468	1038	1506
092	378	898	1276
133	1474	2640	4114
132	1157	1647	2804
012	479	1360	1839
013	1120	1679	2799
014	455	1012	1467
015	455	959	1414
405	1515	34	1549
404	1335	267	1602
401	1112	81	1193
122	2303	1674	3977
123	949	1018	1967
021	585	1911	2496
011	1403	1979	3382
131	984	1352	2336
708	1575	1246	2821
709	1211	876	2087
704	853	428	1281
705	1014	519	1533
706	522	347	869
707	581	403	984
701	521	529	1050
702	773	435	1208
703	530	330	860
403	1008.0	62.0	1071.0
402	839.0	26.0	864.0
111	331	965	1296
112	674	1371	2045
032	692	1179	1871
033	1001	664	1665
031	589	886	1475
034	607	928	1535
301	605	12	617
302	658	31	689
303	480	16	496
304	1418	33	1451
305	985	32	1017
306	882	135	1017
101	803	751	1554
043	862	963	1825
042	1136	1086	2222
902	916	274	1190
903	1447	835	2282
901	788	530	1318
906	1336	956	2292
907	819	506	1325
904	1202	350	1552
905	1011	437	1448
908	933	1153	2086
909	535	437	972
055	921	1613	2534
074	1037	1172	2209
606	777	372	1149
054	758	1229	1987
601	1038	320	1358
051	735	1198	1933
052	372	562	934
053	557	1150	1707
071	964	1641	2605
506	625	380	1005
507	2158	1252	3410
504	679	117	796
505	942	209	1151
502	874	42	916
503	869	151	1020
501	1358	109	1467
061	571	894	1465
063	863	1832	2695
062	532	930	1462
065	911	1822	2733
064	329	498	827
067	546	756	1302
066	498	1066	1564
068	618	1278	1896
605	1589	768	2357
604	841	231	1072
607	1036	640	1676
075	154	355	509
072	1511	2410	3921
073	650	1578	2228
603	1113	273	1386
602	1814	1076	2890
201	2288	371	2659
203	1066	24	1090
205	526	12	538
204	950	94	1044
207	1203	244	1447
206	1059	117	1176
083	1025	479	1504
082	1853	1383	3236
081	1467	840	2307
809	918	1069	1987
808	1455	743	2198
803	560	803	1363
802	551	648	1199
801	550	426	976
807	678	741	1419
806	647	738	1385
805	877	932	1809
804	460	514	974
