PRECINCT	DEM	REP	TOTAL
39	544.0	2090.0	2652.0
43	727.0	1773.0	2482.0
09	642	575	1217
42	425	1177	1602
22	768	1904	2672
02	881	580	1461
03	827	388	1215
26	565	1137	1702
27	943	2092	3035
06	855	230	1085
07	656	44	700
04	1347	1756	3103
05	887	469	1356
46	828	2285	3113
23	806	1488	2294
08	707	319	1026
45	927	1259	2186
28	771	1655	2426
29	696	1947	2643
40	941	2003	2944
41	542	1530	2072
24	674	1014	1688
25	403	967	1370
01	447	365	812
20	575	1628	2203
38	353	1602	1955
21	603	812	1415
11	603	392	995
10	849	936	1785
13	621	1027	1648
12	629	1158	1787
15	1583	2499	4082
14	336	491	827
17	1113	1671	2784
16	994	1997	2991
19	1007	1900	2907
18	1838	2171	4009
31	530	1690	2220
30	420	877	1297
37	343	666	1009
36	514	1439	1953
35	307	753	1060
34	333	1102	1435
33	297	1033	1330
32	493	1078	1571
44	930	2326	3256
