PRECINCT	DEM	REP	TOTAL
em	190	623	813
cc1	1443	2581	4024
cd	824	2297	3121
dv1-a	1475	3677	5152
dv1-b	1693	4821	6514
cs	596	1202	1798
cc2	1479	2184	3663
nh	163	665	828
cc4	1361	2749	4110
ch-b	554	1169	1723
cc3	1781	3357	5138
ch-a	644	1053	1697
st4	966	1145	2111
st5	1090	960	2050
st6	1284	823	2107
st1	1054	1510	2564
st2	903	1023	1926
st3	1187	839	2026
tb	539	1022	1561
be	1052	2512	3564
ft	1528	3483	5011
ba	857	2151	3008
sh-b	510	1600	2110
sh-a	528	1564	2092
ol	204	679	883
dv2-b	979	2103	3082
dv2-a	715	2154	2869
sb	271	1001	1272
ug	204	786	990
