PRECINCT	DEM	REP	TOTAL
098	1305	209	1514
099	1106	196	1302
214	1774	673	2447
215	1080	1318	2398
212	5051	1358	6409
213	2660	356	3016
210	3531	421	3952
211	4732	1597	6329
090	585	643	1228
091	1344	1892	3236
092	968	1220	2188
093	572	819	1391
094	889	384	1273
095	983	266	1249
096	795	734	1529
097	775	190	965
010	1059	818	1877
011	3235	1984	5219
012	1436	130	1566
130	746	298	1044
137	1532	2431	3963
015	1602	605	2207
135	3747	631	4378
017	1120	121	1241
018	510	815	1325
019	570	757	1327
218	695	1237	1932
138	1641	450	2091
013	1568.0	530.0	2095.0
014	1357.0	183.0	1543.0
025	1359	39	1398
024	1459	269	1728
027	1381	108	1489
026	1888	242	2130
021	914	520	1434
020	945	794	1739
126	1686	334	2020
127	1333	2059	3392
128	1351	772	2123
129	563	250	813
088	996	850	1846
219	658	1068	1726
029	952	334	1286
028	1177	196	1373
133	1274	2124	3398
132	903	329	1232
085	1069	704	1773
131	574	778	1352
216	1633	1628	3261
136	658	946	1604
204.1	2877	616	3493
084	1190	238	1428
147	1771	431	2202
100	975	1051	2026
134	2135	2391	4526
203	2792	865	3657
114	931	1246	2177
038	857	527	1384
039	1375	72	1447
217	937	941	1878
110	472	577	1049
113	1026	1498	2524
112	637	997	1634
032	543	1033	1576
033	975	278	1253
030	1531	509	2040
031	1425	66	1491
036	944	867	1811
118	942	1035	1977
034	1101	458	1559
035	657	613	1270
057	744	801	1545
140	1644	2113	3757
223.1	2874	1803	4677
083	1578	656	2234
146	2233	401	2634
108	1227	151	1378
109	1180	612	1792
241	1964	2318	4282
240	1505	2627	4132
049	836	814	1650
048	548	977	1525
047	933	1039	1972
046	1360	424	1784
045	849	294	1143
044	828	334	1162
043	1590	180	1770
042	1623	65	1688
041	1402	142	1544
040	1354	161	1515
001	565	589	1154
238.1	1377	800	2177
016	1922.0	58.0	1977.0
141	2196.0	827.0	3026.0
089	2817	1238	4055
243	3840	2302	6142
242	566	1642	2208
115	794.0	298.0	1089.0
116	842.0	212.0	1057.0
102	1988	831	2819
058	807	704	1511
059	548	382	930
103	1116	1357	2473
054	1680	138	1818
055	994	34	1028
056	872	34	906
139.1	1064	1375	2439
050	776	483	1259
051	1132	851	1983
052	1558	65	1623
053	1834	164	1998
101	797	969	1766
106	635	672	1307
104	1793	175	1968
105	2065	574	2639
202	2389	3011	5400
061	1106	416	1522
060	1236	72	1308
062	1078	227	1305
065	571	500	1071
067	557	599	1156
066	648	513	1161
069	1261	1805	3066
068	801	426	1227
142	1628	2395	4023
226	1257.0	1297.0	2555.0
225	636.0	756.0	1391.0
229	2964	2585	5549
228	1857	749	2606
227	1885	2274	4159
224	1033	694	1727
222	3552	971	4523
221	1024	2112	3136
220	871	1407	2278
022	2612	1687	4299
117	1042	338	1380
111	962	1108	2070
076	1008	1130	2138
077	1375	116	1491
074	859	1147	2006
075	956	1439	2395
072	561	622	1183
073	629	643	1272
070	716	969	1685
071	512	827	1339
079	886	369	1255
151	2177.0	735.0	2915.0
150	1549.0	796.0	2342.0
239	1618	668	2286
234	1203	1031	2234
235	1297	1024	2321
236	990	2051	3041
237	2155	578	2733
230	3314	1507	4821
231	1674	1235	2909
232	1584	1993	3577
233	1123	1748	2871
107.1	2034	459	2493
119	585	607	1192
037	738	723	1461
063	1133.0	274.0	1411.0
064	457.0	252.0	705.0
201	3061	1434	4495
200	661	715	1376
144	1100	1404	2504
145	4027	2663	6690
205	1591	818	2409
143	1507	2359	3866
207	1353	2257	3610
206	2367	1595	3962
209	1389	1776	3165
208	1127	2260	3387
081	2215	436	2651
080	1494	457	1951
087	1081	874	1955
086	569	1050	1619
148	3541	3441	6982
149	2942	659	3601
003	1333	99	1432
002	1446	727	2173
082	1768	96	1864
007	842	411	1253
006	1197	208	1405
005	809	159	968
004	1094	352	1446
009	1333	941	2274
008	773	1048	1821
120	1211	224	1435
121	1164	1818	2982
023	1025	187	1212
122	2261	1361	3622
123	1380	308	1688
078.1	917	309	1226
124	1427	192	1619
125	668	205	873
