PRECINCT	DEM	REP	TOTAL
w18	488	561	1049
w17	794	889	1683
w16	1028	1241	2269
w15	2264	599	2863
w13	900	418	1318
w12	716	523	1239
h08	1508	2620	4128
w21	1228.0	1344.0	2578.0
w03	1188.0	221.0	1403.0
h03	1285	2183	3468
h02	847	1952	2799
h01	571	646	1217
h06	855	1163	2018
h05	1028	1672	2700
h04	1175	1576	2751
w26	976	633	1609
w27	1637	449	2086
w24	1462	1107	2569
w25	1987	440	2427
w28	1345	900	2245
w29	1972	160	2132
w08	750	395	1145
wb	596	963	1559
cf02	676	1226	1902
fp06	961	1568	2529
fp07	1228	2093	3321
fp04	1199	2112	3311
m02	1777	2681	4458
fp03	525	794	1319
fp08	1479	2127	3606
m06	808	1288	2096
cf01	1181	1228	2409
cf06	800	1179	1979
cf05	851	1182	2033
m07	520	958	1478
h10	1310	1280	2590
h11	1596	2449	4045
h12	840	1593	2433
h13	1152	2033	3185
m04	1915	2561	4476
w31	1168	1586	2754
w30	1417	1272	2689
m03	994	1649	2643
