PRECINCT	DEM	REP	TOTAL
0101	1453	1166	2619
1301	201	572	773
1403a1	899	1291	2190
1513b	869	1025	1894
1513a	990	1223	2213
1403a2	1135	1084	2219
1201	1256	1147	2403
1511b	1247	1120	2367
0401	688	408	1096
0200b	979	588	1567
0501	360	543	903
0200a	734	1110	1844
1503	1416	310	1726
1501	663	56	719
1507b	804	596	1400
1507	1404	994	2398
1102b	903	1729	2632
1102a	950	1327	2277
1509	1852	1256	3108
1505a	1368	379	1747
0301	1852	768	2620
1511a	1023	1509	2532
1101	419	459	878
1510b	961	1031	1992
1510a	676	1009	1685
1403b	1755	1751	3506
0901	231	305	536
1512a	2105	1449	3554
1512b	1093	619	1712
0800a	915	784	1699
1508b	621	459	1080
1508a	429	541	970
0800b	835	579	1414
1504b	2020	724	2744
1504a	1534	235	1769
0601	816	2405	3221
1505b	1721	118	1839
1506	934	362	1296
0701	559	875	1434
1001	934	1091	2025
