PRECINCT	DEM	REP	TOTAL
26a	1044	870	1914
22	999	562	1561
03	424.0	647.0	1118.0
15	522.0	66.0	535.0
11a	449.0	395.0	849.0
38	153.0	136.0	291.0
02	741	333	1074
25	457	281	738
01	264	229	493
20	347	319	666
07	288	130	418
04	576	418	994
23	916	722	1638
08	352	646	998
09	378	364	742
28	251	243	494
29	621	249	870
40	175	128	303
41	618	1056	1674
24	276	214	490
05a	1355	577	1932
12	787	297	1084
13	561	443	1004
21	608	621	1229
11	961	1634	2595
10	310	247	557
39	453	289	742
18a	502	544	1046
14	326	243	569
17	172	70	242
16	680	28	708
19	1282	355	1637
30	654	481	1135
37	86	262	348
36	383	238	621
35	504	538	1042
34	301	360	661
33	171	140	311
32a	1327	1198	2525
