PRECINCT	DEM	REP	TOTAL
45	436	449	885
42	980	25	1005
14a	748	2137	2885
02	400	453	853
03	292	1373	1665
26	221	1021	1242
01	212	978	1190
07	486	813	1299
04	489	2183	2672
23	153	870	1023
08	718	1506	2224
09	233	1173	1406
28	834	644	1478
29	196	677	873
40	900	761	1661
41	907	805	1712
24	199	689	888
25	427	1902	2329
39	644	653	1297
05a	697	2017	2714
27	241	635	876
38	1176	571	1747
19a	609	2062	2671
21	608	1179	1787
11	651	1322	1973
10	375	1505	1880
13	224	1163	1387
12	602	635	1237
15	493	1685	2178
22	89	498	587
17	501	950	1451
16	446	696	1142
33	183	1091	1274
18	501	46	547
31	289	759	1048
30	543	889	1432
36	1100	671	1771
35	561	261	822
34	917	738	1655
32	345	777	1122
44	293	1381	1674
