PRECINCT	DEM	REP	TOTAL
30	812	198	1010
02	740	1521	2261
03	519	1565	2084
26	904	586	1490
01	559	958	1517
06	857	930	1787
07	1138	1772	2910
04	808	1991	2799
05	754	1707	2461
08	510	1313	1823
09	545	1212	1757
28	918	1099	2017
29	841	352	1193
14	651	1445	2096
24	389	1394	1783
25	555	837	1392
27	861	253	1114
20	961	70	1031
21	870	340	1210
11	950	668	1618
10	866	256	1122
13	882	444	1326
12	1253	867	2120
15	683	1296	1979
22	665	455	1120
17	700	51	751
16	683	881	1564
19	862	75	937
18	730	151	881
23	560	548	1108
