PRECINCT	DEM	REP	TOTAL
04.1	1002	164	1181
66.1	727	479	1250
19.1	587	295	927
33.2	576	377	982
33.3	796	642	1488
30.3	1045	1042	2143
30.2	853	831	1729
35.1	817	425	1275
34.1	573	311	927
02.1	2249	130	2449
38.3	989	1345	2404
38.2	532	752	1327
12.1	1396	174	1609
15.1	1407	247	1706
50.1	416	615	1056
42.1	784	582	1417
37.1	508	524	1076
51.2	665	711	1417
62.1	1070	720	1829
36.1	748	646	1438
39.3	934	986	1981
13.1	1453	177	1691
10.1	1022	69	1122
06.1	901	228	1166
07.1	1212	181	1431
67.1	1229	667	1942
39.2	642	536	1206
11.1	823	70	928
40.2	1069	1604	2744
17.1	1089	206	1328
08.2	1336	401	1803
08.3	1327	416	1802
44.1	1796	1611	3506
47.1	1089	1729	2925
23.3	540	232	790
26.1	982	265	1305
09.1	1765	526	2399
16.2	1595	374	2046
25.1	1136	485	1683
71.1	1605	1176	2869
46.1	533	481	1040
70.1	1373	599	2049
20.1	662	115	805
69.1	1022	1110	2208
45.1	1315	1323	2733
31.1	549	511	1078
41.1	867	1285	2218
27.2	471	166	647
01.1	1244	177	1474
68.1	1701.0	1509.0	3370.0
05.1	1214.0	564.0	1771.0
56.2	947.0	585.0	1575.0
52.1	977	1554	2624
28.1	1631	215	1912
53.1	796	1332	2181
21.1	1361	507	1932
29.2	1337	764	2166
55.1	1192	1083	2346
59.1	1465	1285	2815
63.1	183	218	423
18.2	2167	1391	3659
58.1	755	647	1438
14.3	709	192	949
14.2	1254	276	1589
24.1	1034	638	1734
03.1	1609	122	1775
61.1	1037	789	1878
64.1	681	677	1424
43.2	638	448	1139
48.1	1072	1450	2608
65.1	1352	922	2342
23.2	281	128	415
49.1	1066	1717	2891
57.1	1065	1086	2200
60.4	690	448	1169
22.2	1453	406	1890
54.2	1385	1012	2484
681	120	165	295
32.1	725	706	1475
60.2	656	322	1025
