PRECINCT	DEM	REP	TOTAL
g2e-2	1379	299	1713
ah49	1465	606	2130
g2e-1	1025	258	1315
cl57-1	1363	564	1970
cl57-2	1452	430	1918
cc12	382	858	1260
lr63	1900	607	2561
cc13	1293	94	1414
cc34	612	831	1475
g10a	1388	1723	3190
g10b	803	874	1729
g10c	815	1411	2282
g5b-1	1708	268	2014
g5b-2	1129	360	1512
g2c-1	972	652	1673
cu02	646	578	1243
g3a-1	1480	716	2252
cc10	453	323	795
g2c-2	969	946	1967
g5a-1	1182	459	1688
g5c	874	478	1390
cc19	450	40	497
li65	751	1428	2216
g7a	231	634	885
g9a	864	986	1896
g7b	222	617	854
g1b	1052	1671	2768
g1a	902	449	1386
g5a-2	843	630	1509
cc21	1447	618	2115
g3c	370	508	893
g3b	379	292	692
cc24	501	336	871
cc25	656	491	1188
cc26	1481	543	2076
cc27	1574	521	2168
cc06	362	382	778
cc07	301	455	772
cc04	376	376	784
cc05	1079	180	1280
al51	1095	2074	3220
cc01	1237	205	1468
g8d	816	1039	1901
cc14	753	1059	1851
g8a	1321	823	2188
g8b	716	688	1450
g8c	798	558	1392
eo61-2	573	822	1420
g9b-1	1157	1278	2499
g9b-2	1257	1316	2644
eo61-1	697	1316	2042
g11b	738	791	1628
sh77	689	1015	1731
cc29	867	447	1356
cc18	398	730	1147
g3a-2	830	604	1474
cc08	382	627	1023
g4a	508	434	965
g4b	511	665	1214
g4c	772	375	1172
g6b	214	576	802
g6c	509	793	1321
g6a	852	2134	3048
cc03	453	256	729
cc33	910	596	1537
cc32	647	152	815
g2d	1380	1232	2659
g2b	1713	1092	2870
cc31	698.0	505.0	1254.0
cc17	1377.0	245.0	1642.0
g2a	1925	962	2950
g11a-2	1013	350	1393
g11a-1	1041	370	1462
mr02	1103	609	1750
cc15	769	1092	1893
mb62	1281	364	1680
cc16	1318	76	1411
