PRECINCT	DEM	REP	TOTAL
56	138	722	880
54	155	1063	1247
42	212	1374	1612
22	148	443	616
50	490	1863	2403
60	1072	1723	2861
82	427	1380	1862
62	626	248	898
64	719	227	963
66	468	570	1067
68	582	772	1388
52	723	2238	3018
84	1030	2381	3493
80a	772	2788	3623
24	244	636	910
26	232	474	724
06	416	1380	1838
04	1146	2870	4095
46	458	1328	1823
08	221	523	769
48	402	1335	1780
28	533	1138	1708
40	708	657	1381
86a	898	1346	2307
78	523	1649	2235
76	446	1801	2273
38	518	131	665
72	424	1492	1948
70	362	1259	1657
20	389	1490	1925
58	564	1517	2136
10	468	1170	1700
12	119	417	559
14	221	1075	1318
16	458	1689	2212
18	279	1082	1386
30	946	211	1182
36	496	278	797
34	567	515	1106
74	607	2053	2716
88	495	1249	1779
32	396	293	709
44	847	2010	2912
