PRECINCT	DEM	REP	TOTAL
45	2573	1546	4200
54	4494	806	5397
35.3	5288	1445	6861
48	1216	268	1504
43	4043	1126	5242
55-49	1868	40	1933
42	917	26	950
02	2139	214	2410
03	1756	181	1962
26	487	645	1150
01	854	79	938
06	1425	120	1562
07	1632	114	1787
04	1155	170	1348
05	3196	426	3712
46	1937	470	2460
47	1299	59	1373
08	1675	102	1803
09	1881	279	2186
28	1337	1454	2842
29	2076	1049	3173
40	1461	151	1637
41	1039	36	1082
30-2	4571	925	5575
14	1324	114	1458
51	3669	723	4471
24	2046	883	2984
34-1	2127	273	2436
25	1264	1302	2615
34-2	3671	371	4117
30-1	4559	1537	6214
39	1993	798	2826
53-1	1945	512	2513
53-2	2509	663	3248
27	1887	646	2569
20	1552	66	1634
38	3824	840	4751
21	1217	163	1395
10	851	42	904
13	756	38	809
12	456	29	501
15	862	69	942
22	3233	239	3511
17	1792	102	1921
16	1400	320	1739
19	2010	243	2286
18	1364	93	1476
31	2280	919	3270
23	3867	533	4458
37	2552	1529	4142
36	1907	269	2211
52	2143	249	2420
33	4016	1154	5316
55-11	1255	34	1302
32	1409	1498	2955
44	3154	2004	5268
50	2343	653	3055
