PRECINCT	DEM	REP	TOTAL
091	495	1018	1554
092	378	921	1327
133	1774	2461	4335
132	1342	1539	2946
012	531	1329	1902
013	1220	1601	2904
014	518	969	1520
015	547	891	1471
405	1522	48	1597
404	1410	221	1665
401	1101	101	1218
122	2391	1625	4118
123	1032	957	2040
021	677	1856	2591
011	1539	1893	3526
131	1101	1296	2452
708	1691	1207	2951
709	1314	834	2200
704	925	383	1337
705	1064	489	1599
706	557	333	916
707	630	371	1033
701	606	492	1114
702	861	380	1283
703	632	264	924
403	989.0	63.0	1084.0
402	846.0	33.0	891.0
111	349	961	1345
112	755	1301	2129
032	756	1144	1943
033	1007	660	1715
031	619	867	1524
034	624	933	1594
301	601	19	631
302	662	37	711
303	476	33	512
304	1414	50	1477
305	982	38	1029
306	869	142	1027
101	870	698	1601
043	907	930	1884
042	1174	1066	2299
902	1008	229	1272
903	1670	755	2481
901	914	455	1393
906	1459	886	2394
907	896	480	1405
904	1216	344	1602
905	1090	398	1524
908	1125	1041	2206
909	575	415	1013
055	1114	1521	2675
074	1196	1089	2335
606	784	390	1201
054	886	1158	2083
601	1082	291	1423
051	839	1146	2023
052	436	523	981
053	657	1091	1785
071	1166	1521	2737
506	628	395	1059
507	2243	1214	3543
504	681	122	822
505	917	241	1184
502	872	55	941
503	897	142	1066
501	1346	134	1504
061	629	839	1517
063	1005	1744	2812
062	590	905	1535
065	1042	1719	2838
064	383	465	868
067	603	700	1355
066	554	1026	1632
068	724	1200	1977
605	1640	754	2455
604	890	204	1133
607	1093	603	1734
075	191	339	539
072	1768	2228	4086
073	766	1525	2337
603	1126	281	1439
602	1902	1018	2998
201	2306	371	2721
203	1064	39	1115
205	530	16	555
204	956	85	1071
207	1213	256	1499
206	1051	129	1196
083	1036	489	1549
082	1938	1354	3340
081	1527	789	2379
809	1089	971	2104
808	1566	666	2298
803	668	761	1444
802	678	608	1296
801	619	387	1038
807	803	668	1507
806	696	713	1439
805	1030	854	1922
804	545	474	1037
