PRECINCT	DEM	REP	TOTAL
098	1285	236	1551
099	1089	216	1342
214	1809	665	2532
215	1174	1293	2534
212	5163	1323	6647
213	2592	423	3079
210	3440	493	4018
211	4829	1570	6572
090	636	625	1293
091	1595	1751	3411
092	1126	1161	2326
093	637	797	1470
094	871	423	1326
095	975	272	1279
096	860	705	1601
097	772	187	991
010	1344	639	2031
011	3890	1456	5550
012	1448	139	1613
130	762	301	1091
137	1805	2291	4196
015	1866	477	2396
135	3747	663	4516
017	1124	130	1289
018	658	734	1413
019	708	677	1411
218	763	1230	2060
138	1654	435	2156
013	1698.0	415.0	2207.0
014	1389.0	162.0	1604.0
025	1354	54	1427
024	1510	240	1798
027	1354	156	1549
026	1843	305	2189
021	1069	435	1540
020	1138	701	1882
126	1677	338	2067
127	1737	1780	3598
128	1409	764	2226
129	572	248	845
088	1075	815	1952
219	674	1076	1800
029	1020	305	1360
028	1192	212	1446
133	1633	1897	3657
132	892	357	1281
085	1140	659	1850
131	690	733	1451
216	1713	1641	3424
136	720	924	1684
204.1	2898	627	3592
084	1158	266	1466
147	1767	458	2276
100	1119	985	2145
134	2502	2124	4808
203	2793	886	3761
114	1103	1151	2306
038	989	439	1473
039	1354	100	1475
217	1025	888	1970
110	547	548	1114
113	1213	1383	2660
112	756	950	1750
032	734	930	1680
033	1010	273	1323
030	1756	331	2175
031	1393	95	1508
036	1074	816	1943
118	1083	972	2101
034	1147	425	1643
035	804	540	1368
057	871	754	1659
140	1942	1924	3961
223.1	3020	1716	4860
083	1600	650	2303
146	2240	402	2699
108	1180	183	1406
109	1431	440	1932
241	2249	2149	4538
240	2001	2236	4427
049	1001	724	1772
048	694	910	1626
047	1162	917	2118
046	1463	355	1882
045	844	314	1188
044	900	316	1248
043	1590	181	1808
042	1585	97	1719
041	1349	177	1571
040	1318	203	1546
001	712	508	1248
238.1	1459	728	2250
016	1880.0	97.0	2002.0
141	2432.0	700.0	3259.0
089	2770	1340	4204
243	4060	2184	6442
242	825	1409	2305
115	764.0	324.0	1121.0
116	833.0	242.0	1089.0
102	2037	823	2935
058	933	630	1621
059	620	336	991
103	1281	1286	2625
054	1671	147	1860
055	991	52	1058
056	841	60	920
139.1	1229	1324	2607
050	864	439	1353
051	1322	764	2145
052	1528	110	1657
053	1796	208	2042
101	900	940	1892
106	718	632	1376
104	1773	205	2013
105	2148	509	2756
202	2916	2628	5775
061	1108	433	1575
060	1205	101	1328
062	1061	255	1344
065	634	468	1130
067	635	555	1215
066	748	472	1247
069	1486	1677	3224
068	834	420	1282
142	2017	2126	4295
226	1418.0	1193.0	2684.0
225	695.0	746.0	1487.0
229	3203	2478	5841
228	1872	779	2726
227	2170	2153	4414
224	1015	754	1814
222	3488	1045	4640
221	1100	2125	3292
220	907	1447	2401
022	3301	1202	4655
117	1053	334	1429
111	1153	1013	2213
076	1198	1035	2294
077	1334	152	1517
074	1020	1071	2130
075	1168	1361	2576
072	666	566	1259
073	712	601	1356
070	877	906	1810
071	593	792	1403
079	845	419	1286
151	2189.0	763.0	3027.0
150	1550.0	790.0	2400.0
239	1665	653	2371
234	1228	1035	2327
235	1310	1050	2423
236	1031	2095	3200
237	2152	575	2806
230	3415	1471	5027
231	1782	1215	3066
232	1773	1940	3802
233	1275	1734	3081
107.1	2065	455	2573
119	668	578	1272
037	902	606	1567
063	1112.0	301.0	1457.0
064	470.0	259.0	742.0
201	3082	1497	4669
200	696	705	1441
144	1297	1286	2638
145	4320	2550	7013
205	1576	869	2490
143	2021	1979	4115
207	1691	1993	3809
206	2780	1370	4262
209	1575	1679	3385
208	1597	1882	3616
081	2169	492	2714
080	1429	522	2000
087	1152	810	2057
086	736	963	1719
148	4039	3177	7419
149	2946	674	3702
003	1285	140	1450
002	1722	542	2331
082	1736	130	1897
007	906	364	1322
006	1203	216	1454
005	800	163	1002
004	1091	349	1481
009	1640	735	2450
008	975	955	1956
120	1200	228	1477
121	1323	1754	3144
023	1040	180	1249
122	2342	1311	3783
123	1345	343	1725
078.1	925	293	1262
124	1418	198	1656
125	655	219	904
