PRECINCT	DEM	REP	TOTAL
ch	914	105	1038
co	1848	246	2138
eh	1578	230	1837
wd	1817	326	2188
cc	1448	292	1789
cb	1188	113	1315
ca	415	403	831
ef	808	771	1604
cg	616	522	1166
cf	1426	363	1811
cx	2088	1665	3846
gb	1877	866	2815
cp	1500	978	2534
cw	861	1244	2147
es	1116	179	1311
gr	1435	210	1669
gl	1449	372	1851
lc	1771	182	1987
nc	1801	227	2047
eno	991	978	2006
to	595	515	1127
rf	1312	257	1602
pa	2683	891	3623
th	1488	89	1598
ns	1900	264	2205
dm	1683	280	2011
wc	889	469	1387
bc	1294	264	1581
ea	1543	269	1850
da	2087	322	2435
ww	1038	182	1246
bp	667	112	794
li	1441	286	1761
wh	1448	417	1885
hf	2468	518	3039
mf	1840	332	2233
og	1797	935	2791
h	709	111	833
km	1404	295	1719
sj	1923	382	2341
wds	395	32	428
sm	1135	1044	2219
ow	1769	155	1977
cs1	889	460	1374
