PRECINCT	DEM	REP	TOTAL
26a	1368	611	1995
22	833	815	1663
03	360.0	749.0	1177.0
15	525.0	93.0	540.0
11a	352.0	521.0	897.0
38	100.0	195.0	315.0
02	596	506	1112
25	327	464	798
01	198	343	543
20	312	376	694
07	240	205	448
04	331	818	1152
23	646	1118	1778
08	298	749	1054
09	341	425	775
28	214	330	549
29	605	301	917
40	167	141	312
41	475	1290	1784
24	206	333	541
05a	1273	727	2015
12	753	383	1147
13	480	563	1050
21	576	671	1270
11	875	1851	2748
10	284	292	588
39	344	440	791
18a	464	635	1113
14	272	316	594
17	142	112	260
16	648	55	710
19	1194	478	1688
30	445	771	1228
37	59	314	376
36	329	306	641
35	270	867	1143
34	211	511	730
33	158	169	331
32a	1216	1402	2650
