PRECINCT	DEM	REP	TOTAL
45	441	437	903
42	965	43	1022
14a	838	2115	3025
02	381	468	873
03	280	1397	1724
26	261	1007	1311
01	225	983	1234
07	477	826	1345
04	543	2175	2774
23	183	845	1062
08	744	1523	2328
09	229	1175	1442
28	848	637	1537
29	208	661	890
40	930	748	1731
41	968	798	1802
24	220	700	946
25	475	1921	2452
39	657	661	1355
05a	714	2021	2812
27	248	645	910
38	1172	590	1812
19a	629	2080	2773
21	618	1199	1866
11	701	1295	2047
10	424	1503	1973
13	221	1190	1444
12	617	635	1280
15	535	1679	2267
22	115	483	612
17	500	976	1516
16	443	720	1196
33	198	1076	1313
18	487	57	551
31	313	753	1095
30	529	905	1487
36	1119	660	1829
35	566	271	865
34	953	744	1739
32	363	787	1172
44	293	1423	1758
