PRECINCT	DEM	REP	TOTAL
19-14	1154	1078	2277
13-05	1199	418	1657
17-06	783	798	1606
15-03	1381	2226	3676
12-08	1892	1477	3443
01-06	1782	539	2372
07-07a	288	198	489
13-11	1388	1234	2676
13-10	2611	2071	4786
19-04	3140	2780	6037
12-01	1783	2582	4461
09-03	955	1272	2260
09-02	1691	963	2697
09-01	845	971	1851
04-20	1665	793	2546
01-49	1716	536	2334
04-21	1022	364	1448
01-47	971	902	1911
01-46	1924	309	2294
01-45	908	568	1519
01-44	1967	893	2924
01-43	1259	474	1779
01-42	1151	1250	2424
01-41	1264	359	1683
01-40	2926	196	3169
17-01	1531	596	2178
07-12	1442	727	2205
06-08	1044	757	1859
05-07	3677	1494	5312
05-06	2437	1624	4130
05-05	3710	1960	5820
05-03	1571	1218	2836
05-01	1987	1239	3322
05-08	1667	648	2375
04-13	2223	1519	3823
04-12	1379	952	2388
04-11	871	351	1255
04-10	1399	868	2329
04-17	1069	510	1625
04-16	1161	620	1825
04-15	1295	701	2060
04-14	883	542	1466
01-50	1932	144	2112
01-51	558	395	972
04-19	933	553	1541
04-18	1423	739	2212
15-01	1413	1943	3431
07-10	2599	1283	3983
14-02	1773	2983	4849
02-06	944	1305	2273
02-04	893	1138	2058
02-05	423	467	907
02-02	2167	2449	4699
02-03	1109	1413	2574
02-01	1367	1267	2680
13-01	2712	609	3398
01-07a	200	29	234
16-07	1545	1154	2764
16-06	785	372	1195
16-05	1122	965	2141
16-04	1171	992	2201
07-09	1717	872	2652
16-02	3031	695	3781
16-01	985	1072	2103
07-05	916	583	1544
07-04	2351	968	3412
07-07	1827	1190	3071
07-06	1621	1300	2968
07-01	933	466	1435
07-03	787	576	1381
07-02	831	532	1390
17-11	2518	768	3345
17-10	626	302	949
04-08	1385	562	1994
04-09	1166	884	2084
04-04	870	488	1401
04-05	1881	1045	2985
04-06	1478	970	2496
04-07	1171	1281	2480
19-11	1142	1180	2399
04-01	1111	650	1812
04-02	1293	744	2092
04-03	1050	545	1641
06-10	1048	1252	2363
01-29	1194	878	2096
01-28	2767	451	3282
17-05	2247	840	3146
16-03	770	412	1221
01-27	1313	208	1552
01-26	1817	100	1946
01-21	2257	795	3141
01-20	1825	206	2078
01-22	2843	153	3037
03-00	1473	1459	3021
17-07	2406	457	2904
11-02	2184	1322	3585
11-01	2538	1257	3905
18-04	1595	1615	3273
17-02	422	361	798
17-03	3518	1488	5107
14-01	232	384	628
07-13	1157	703	1914
08-11	2102	1139	3320
08-10	1382	793	2220
18-08	1853	1257	3181
17-08	4061	2061	6260
17-09	2442	258	2729
19-09	1511	1957	3541
18-01	2838	890	3860
19-07	1178	1107	2338
18-03	1123	839	2003
18-02	1813	2108	3993
18-05	2258	1920	4243
19-03	1120	1265	2456
18-07	1154	1582	2805
18-06	2235	955	3303
20-06a	2194	1472	3776
06-07	1508	1182	2765
06-04	1615	1155	2867
20-06b	1601	1293	2977
01-36	1054	953	2044
06-06	2294	1944	4361
01-34	1128	59	1202
01-35	1573	74	1661
01-32	1420	490	1980
01-33	819	425	1259
01-30	647	458	1120
01-31	2124	446	2668
10-01	356	657	1030
10-03	1122	942	2116
10-02	1558	1332	2937
01-38	1252	512	1804
06-05	1235	1523	2813
08-08	2068	1537	3680
08-09	1091	577	1717
01-37	934	628	1597
08-02	2009	1253	3333
08-03	2555	1625	4290
08-04	783	702	1517
08-05	1002	816	1852
08-06	1296	432	1794
08-07	1133	1099	2291
06-09	2008	2092	4213
15-02	2023	2194	4314
20-10	1592	1030	2675
01-09	802	226	1043
20-12	1113	1047	2211
20-15	1904	907	2894
20-14	2871	1789	4745
15-04	819	973	1827
20-16	1610	772	2441
01-03	1082	713	1820
01-02	1194	438	1664
01-01	1313	351	1693
01-07	1360	347	1734
19-17	2560	1346	3999
01-05	546	387	946
01-04	662	408	1088
19-16	1141	1091	2265
07-11	614	443	1070
19-10	3033	3501	6660
19-13	1050	691	1781
19-12	2226	2211	4532
10-04	3076	2130	5285
01-14	2412	502	2976
01-15	905	654	1579
01-16	1514	670	2221
01-17	494	414	931
01-10	898	431	1341
01-11	852	994	1861
01-12	1052	513	1590
01-13	1100	227	1345
01-18	1455	789	2292
01-19	1308	63	1390
20-03	1623	1345	3055
12-09	1455	1744	3255
20-01	1651	1126	2866
20-04	1739	1107	2926
20-05	1718	1491	3263
12-02	1792	1634	3529
20-08	1996	1669	3768
20-09	1332	1002	2379
12-07	926	1148	2127
12-06	1227	1608	2916
12-05	2780	3123	6037
12-04	1167	2092	3343
16-09	1625	948	2625
01-25	507.0	31.0	502.0
01-23	3760.0	1389.0	5388.0
20-17	1709	1116	2892
19-05	1025	1523	2592
16-08	4797	846	5729
17-04	2950	1576	4630
01-48	1413	408	1886
19-15	1014	1053	2111
01-39	1522	595	2174
13-02	945	768	1743
20-11	1562	1499	3156
13-06	1500	986	2539
13-07	1295	548	1886
13-08	1623	393	2056
13-09	2496	736	3310
