PRECINCT	DEM	REP	TOTAL
30	806	238	1051
02	657	1666	2365
03	456	1689	2182
26	867	657	1547
01	509	1047	1579
06	835	1015	1872
07	1056	1956	3053
04	720	2159	2916
05	696	1845	2580
08	455	1413	1906
09	512	1307	1839
28	840	1227	2089
29	825	418	1257
14	631	1556	2202
24	284	1571	1879
25	513	935	1455
27	841	292	1144
20	955	108	1076
21	853	389	1258
11	916	731	1676
10	859	283	1157
13	891	476	1386
12	1172	991	2217
15	625	1426	2067
22	659	504	1177
17	688	77	774
16	639	975	1629
19	847	103	958
18	714	175	906
23	538	592	1163
