PRECINCT	DEM	REP	TOTAL
04.1	967	169	1162
66.1	679	522	1235
19.1	574	307	924
33.2	527	408	968
33.3	736	671	1455
30.3	925	1106	2111
30.2	767	866	1681
35.1	772	430	1248
34.1	511	337	895
02.1	2193	136	2381
38.3	875	1407	2363
38.2	448	800	1302
12.1	1313	203	1546
15.1	1339	280	1673
50.1	358	667	1039
42.1	709	663	1404
37.1	431	585	1049
51.2	541	811	1398
62.1	1002	753	1813
36.1	711	646	1419
39.3	851	1026	1941
13.1	1394	179	1624
10.1	991	69	1086
06.1	857	267	1146
07.1	1174	190	1393
67.1	1128	711	1894
39.2	585	571	1190
11.1	812	73	919
40.2	906	1739	2707
17.1	1052	221	1304
08.2	1280	451	1780
08.3	1311	435	1790
44.1	1643	1701	3450
47.1	912	1887	2895
23.3	513	233	769
26.1	930	301	1282
09.1	1676	563	2350
16.2	1498	425	1991
25.1	1063	525	1648
71.1	1457	1238	2798
46.1	486	502	1026
70.1	1270	655	1990
20.1	628	120	786
69.1	860	1210	2162
45.1	1147	1423	2666
31.1	532	496	1057
41.1	711	1418	2178
27.2	450	178	638
01.1	1213	187	1448
68.1	1476.0	1689.0	3326.0
05.1	1191.0	547.0	1726.0
56.2	860.0	625.0	1557.0
52.1	781	1726	2594
28.1	1600	197	1854
53.1	651	1465	2170
21.1	1295	542	1889
29.2	1308	746	2126
55.1	1088	1154	2325
59.1	1272	1391	2746
63.1	160	237	412
18.2	2083	1384	3605
58.1	677	700	1414
14.3	656	221	925
14.2	1209	330	1580
24.1	902	727	1692
03.1	1526	139	1690
61.1	932	847	1832
64.1	589	753	1402
43.2	565	500	1110
48.1	940	1581	2577
65.1	1210	1018	2286
23.2	282	116	410
49.1	884	1899	2882
57.1	949	1134	2157
60.4	624	486	1144
22.2	1408	410	1862
54.2	1268	1091	2443
681	90	197	297
32.1	654	740	1436
60.2	611	361	1008
