PRECINCT	DEM	REP	TOTAL
0047-b	325	526	873
0015	188	747	958
0014	168	1092	1286
0013	288	1549	1897
0012	137	1147	1296
0011	252	1506	1812
0035	508	436	971
0034	664	632	1360
0051	665	1511	2244
0036	354	917	1292
0031	777	460	1282
0019	153	265	423
0018	111	244	360
0047-a	652	713	1396
0039	530	548	1098
0038	507	867	1410
0066	353	868	1251
0053	292	1076	1399
0064	125	401	537
0065	143	560	720
0062	143	412	567
0052	270	561	852
0022	291	947	1274
0020	268	373	659
0021	259	632	919
0001	596	1454	2104
0024	489	1180	1712
0003	162	627	808
0040	346	771	1154
0029-b	163	525	706
0029-a	116	627	759
0070	420	1169	1630
0048	536	895	1468
