PRECINCT	DEM	REP	TOTAL
03-00	1211	2267	3604
11-02	535	1499	2111
10-00	781	2776	3645
05-00	413	1526	1976
04-10	900	1483	2450
01-10	802	1189	2078
11-01	1451	1653	3210
12-09	495	1057	1598
06-00	186	1326	1544
12-08	390	439	857
12-03	612	818	1474
12-02	741	366	1127
12-01	232	159	412
12-07	793	61	863
12-06	516	494	1056
12-05	542	956	1555
12-04	804	831	1683
02-06	1166	1086	2325
02-07	840	1389	2298
02-05	1077	1776	2942
02-02	1295	1727	3135
02-03	1488	2440	4070
02-01	685	1166	1903
02-08	2107	2370	4652
02-09	2406	1897	4454
08-00	519	2139	2714
12-10	282	541	857
07-00	111	671	799
12-11	497	599	1133
09-00	276	1526	1843
04-08	363	681	1084
04-09	684	1423	2150
12-12	496	811	1358
04-04	484	474	984
04-05	437	577	1035
04-06	588	608	1222
04-07	311	836	1183
04-01	920	929	1907
04-02	958	723	1707
04-03	872	1006	1914
01-09	206	529	768
01-08	1217	1419	2733
01-02	464	1272	1794
01-07	632	1295	1978
01-06	1136	1308	2513
01-04	1601	1700	3428
