PRECINCT	DEM	REP	TOTAL
56	97	759	877
54	101	1135	1254
42	136	1445	1607
22	106	488	615
50	339	2017	2398
60	940	1836	2856
82	317	1480	1849
62	631	263	907
64	735	224	971
66	430	613	1064
68	559	811	1407
52	512	2449	3026
84	826	2541	3472
80a	592	2896	3597
24	205	680	907
26	188	516	719
06	277	1516	1836
04	915	3039	4060
46	346	1420	1815
08	180	558	763
48	286	1456	1780
28	424	1222	1691
40	658	684	1375
86a	818	1419	2300
78	364	1812	2243
76	351	1864	2263
38	528	120	671
72	289	1598	1929
70	271	1363	1660
20	266	1586	1906
58	409	1674	2141
10	367	1273	1694
12	92	452	562
14	140	1135	1316
16	318	1806	2193
18	217	1136	1382
30	946	222	1190
36	458	308	793
34	531	545	1110
74	417	2222	2696
88	438	1290	1765
32	379	321	718
44	710	2123	2907
