PRECINCT	DEM	REP	TOTAL
39	376.0	2238.0	2695.0
43	718.0	1881.0	2651.0
09	626	616	1276
42	405	1230	1678
22	686	2008	2744
02	871	580	1488
03	818	420	1261
26	547	1188	1781
27	964	2121	3194
06	861	262	1135
07	678	42	724
04	1270	1908	3237
05	876	511	1410
46	769	2387	3239
23	821	1547	2442
08	691	343	1051
45	897	1319	2301
28	755	1696	2558
29	663	2030	2781
40	859	2142	3059
41	464	1677	2189
24	649	1069	1797
25	376	1027	1454
01	440	365	836
20	479	1771	2295
38	280	1728	2047
21	553	901	1481
11	596	422	1044
10	845	954	1844
13	538	1148	1713
12	556	1274	1885
15	1584	2504	4213
14	319	512	863
17	1127	1698	2917
16	935	2068	3109
19	921	2026	3014
18	1809	2232	4152
31	495	1772	2318
30	377	955	1361
37	284	761	1073
36	378	1650	2064
35	261	832	1107
34	270	1206	1509
33	222	1132	1378
32	447	1158	1655
44	821	2487	3397
