PRECINCT	DEM	REP	TOTAL
gr	324	1434	1803
sclay	283	1229	1548
sum4	251	1204	1490
sum3	208	727	953
sum2	916	499	1447
sum1	1013	518	1559
h27-b	514	583	1134
fr4	493	636	1162
fr2	791	850	1710
h27-a	933	889	1886
g08	1235	340	1606
g09	1628	302	1950
g04	1153	92	1257
g05	1033	54	1102
g06	1027	36	1076
g07	945	330	1301
g01	815	68	895
g02	587	234	840
g40b	598	476	1111
stok	742	2039	2879
g31	582	504	1150
g30	619	730	1389
g33	683	617	1359
g32	1068	881	2008
g35	587	421	1036
g34	788	671	1525
g37	1348	412	1814
g36	881	461	1380
g39	721	387	1143
g38	1115	681	1845
cg3b	1182	843	2093
cg3a	738	593	1365
g41b	708	622	1371
g41a	627	471	1128
mon2a	1626	548	2204
mon2b	864	432	1325
ndri	434	1378	1866
h15	698	577	1310
or2	592	1288	1947
or1	838	1884	2811
h16	445	490	962
cg1	1066	742	1875
cg2	822	696	1567
g40a1	682	561	1277
g40a2	522	347	904
g26	1746	486	2278
g27	1176	991	2256
g24	666	232	927
g25	895	507	1460
g22	647	737	1419
g23	623	391	1056
g20	958	801	1845
g21	1426	996	2488
g28	517	318	866
g29	768	411	1213
mon3	1027	1956	3060
mon1	1099	570	1709
fen1	1951	777	2782
h19b	365	305	699
h19a	811	95	924
fen2	472	932	1455
h29a	874	568	1500
h29b	1067	693	1827
h20b	368	501	897
h20a	469	434	930
g53	1880	129	2042
g52	1162	117	1305
g51	836	340	1199
g50	1592	348	1998
g57	1131	253	1413
g56	933	265	1215
g55	1514	305	1843
g54	1590	210	1826
g59	776	205	998
g58	1270	192	1498
smad	768	1044	1853
nmad	707	908	1650
h09	978	30	1017
h08	617	48	674
h03	741	190	946
h02	492	540	1057
h01	771	326	1116
h07	845	78	931
h06	1192	750	1991
h05	1172	207	1391
h04	995	553	1578
g43	1341	509	1904
g44	1308	241	1611
g45	2315	353	2746
g46	1813	61	1893
g47	1474	271	1800
g48	1679	406	2169
g49	676	131	823
nwash	154	780	947
gib	772	973	1804
jef1	860	1148	2046
fr3	626	568	1227
jef3	2267	479	2787
jef2	1116	687	1845
pg2	480	1479	2008
jef4	659	729	1424
pg1	456	807	1291
h18	997	264	1282
sdri	1360	2213	3677
h10	1274	153	1450
h11	973	163	1157
h12	630	262	924
h13	561	685	1296
h14	402	721	1163
rc1	1239	1179	2473
rc2	1377	1556	3056
h17	557	238	812
g75	1164	84	1263
g74	1540	29	1582
fr1	1794	943	2816
g71	1519	34	1568
g70	1522	30	1574
g73	1082	24	1118
g72	1473	72	1567
swash	126	546	687
ncgr2	523	1145	1707
ncgr1	855	1444	2392
g03	1265	80	1363
sf4	1025	1678	2795
sf2	382	878	1293
sf3	946	1191	2205
sf1	847	1537	2467
h28	1238	924	2232
h25	1054	1496	2622
h24	756	954	1782
h26	714	808	1564
h21	427	622	1094
h23	383	637	1057
h22	466	411	897
g68	1331	14	1362
g69	1428	92	1554
g42a	780	715	1535
g62	617	346	987
g63	883	462	1383
g60	902	269	1207
g61	1089	274	1391
g66	1016	693	1777
g67	1022	11	1043
g64	1377	399	1823
g65	1067	586	1717
jam4	561	1153	1749
g42b	0.0	0.0	0.0
jam5	211	792	1026
nclay1	701	1207	1937
nclay2	298	801	1118
g16	695	476	1213
g15	771	270	1084
jam1	896	1191	2162
jam2	622	745	1416
jam3	613	777	1445
g19	623	533	1194
g18	511	535	1084
g17	714	534	1300
fr5b	403	611	1061
fr5a	700	761	1520
g14	698	237	968
g13	800	310	1151
g12	704	146	878
g11	865	232	1139
g10	1523	336	1892
