PRECINCT	DEM	REP	TOTAL
gr	435	1351	1832
cc	808	1717	2607
cb	241	603	862
ef	475	1107	1620
ar	370	676	1063
at	751	1534	2343
gm	300	569	895
ev	572	1280	1898
cv	167	214	387
es	457	993	1491
hv-1	878	808	1748
hv-3	917	788	1762
hv-2	847	771	1669
pv	614	967	1618
nm	730	1358	2160
rr	221	427	667
nb	649	1871	2584
lj	639	897	1580
ne	446	742	1225
rg	533	1132	1725
lp	662	706	1405
ed	444	1237	1717
nw	545	827	1427
pr	583	1141	1792
fr	1041	1496	2593
bc	220	404	632
hs	639	1091	1782
bk	327	498	867
hc	730	1524	2332
fl	1217	1664	2963
mg	219	486	732
sw	660	1084	1799
sm	757	1778	2608
sb	449	1482	1983
se	284	586	894
