PRECINCT	DEM	REP	TOTAL
pr38	216	1185	1422
pr33	552	2033	2670
pr32	572	1357	1994
pr30	938	1433	2433
pr37	721	2042	2825
pr36	469	1426	1932
pr35	787	2265	3127
pr34	1949	1972	4050
pr07	396	1529	1959
pr04	268	592	870
pr23a	758	1958	2813
pr11a	834	1259	2157
pr11b	1397	1796	3297
pr23b	666	1535	2271
pr08	196	1172	1377
pr09	1239	2173	3519
pr28	874	1625	2584
pr12a	1126	1808	3037
pr12b	1172	1889	3168
pr27a	635	611	1270
pr27b	756	1140	1948
pr20	722	1306	2079
pr21	314	1482	1825
pr22	532	1566	2133
pr24	853	550	1432
pr25	824	779	1642
pr26	973	536	1532
pr31b	1342	2311	3773
pr10b	461	962	1472
pr31a	596	1301	1964
pr29b	2021	3715	5921
pr29a	1164	2600	3939
pr13	440	1375	1853
pr14	247	1373	1656
pr19	267	909	1188
pr10a	1085	807	1949
