PRECINCT	DEM	REP	TOTAL
098	1325	208	1566
099	1137	182	1348
214	1828	613	2501
215	1153	1242	2499
212	5209	1203	6595
213	2659	363	3073
210	3548	400	3995
211	4825	1518	6527
090	620	608	1275
091	1570	1668	3357
092	1095	1059	2254
093	605	785	1448
094	889	407	1324
095	1000	240	1273
096	833	693	1575
097	779	168	980
010	1266	594	1985
011	3730	1516	5521
012	1480	93	1609
130	741	306	1085
137	1836	2165	4137
015	1773	465	2362
135	3810	589	4476
017	1164	98	1290
018	648	659	1360
019	720	597	1387
218	717	1227	2033
138	1694	421	2161
013	1681.0	427.0	2204.0
014	1416.0	140.0	1612.0
025	1391	28	1432
024	1522	225	1797
027	1408	114	1548
026	1919	242	2193
021	1029	416	1528
020	1162	562	1833
126	1717	292	2054
127	1611	1759	3537
128	1410	710	2201
129	581	233	846
088	1016	817	1922
219	641	1072	1774
029	989	307	1348
028	1198	197	1442
133	1466	2008	3618
132	906	329	1270
085	1114	645	1833
131	653	718	1423
216	1674	1602	3374
136	697	878	1633
204.1	2950	560	3588
084	1192	235	1467
147	1845	385	2283
100	1073	951	2093
134	2268	2267	4757
203	2826	812	3740
114	1048	1118	2260
038	920	464	1470
039	1418	66	1499
217	993	856	1928
110	546	509	1097
113	1214	1288	2610
112	759	883	1713
032	763	779	1611
033	976	279	1302
030	1648	376	2146
031	1464	59	1541
036	1058	744	1879
118	1064	917	2059
034	1142	422	1634
035	786	495	1343
057	868	711	1628
140	1916	1858	3909
223.1	2957	1684	4807
083	1582	644	2279
146	2271	366	2694
108	1230	152	1409
109	1351	444	1893
241	2077	2222	4501
240	1718	2545	4408
049	1000	666	1731
048	731	754	1563
047	1159	828	2068
046	1441	357	1872
045	864	292	1191
044	870	299	1218
043	1624	159	1815
042	1643	73	1730
041	1425	136	1581
040	1367	170	1558
001	710	447	1211
238.1	1437	712	2231
016	1941.0	38.0	1970.0
141	2336.0	748.0	3245.0
089	2821	1282	4188
243	4014	2152	6426
242	702	1509	2274
115	779.0	295.0	1117.0
116	860.0	211.0	1095.0
102	2052	780	2916
058	863	656	1582
059	592	342	982
103	1206	1246	2568
054	1728	109	1865
055	1010	30	1052
056	887	33	934
139.1	1197	1305	2593
050	836	404	1336
051	1289	715	2112
052	1579	77	1676
053	1874	158	2063
101	893	905	1871
106	686	598	1347
104	1834	155	2017
105	2151	512	2733
202	2540	2978	5765
061	1122	406	1561
060	1237	74	1331
062	1114	220	1359
065	588	477	1106
067	590	544	1185
066	726	450	1228
069	1436	1591	3146
068	835	379	1259
142	1795	2338	4301
226	1349.0	1203.0	2668.0
225	683.0	740.0	1480.0
229	3155	2443	5803
228	1928	699	2717
227	2103	2138	4381
224	1017	758	1817
222	3544	957	4607
221	1039	2111	3257
220	868	1424	2364
022	3148	1240	4632
117	1055	313	1414
111	1124	961	2164
076	1139	1012	2242
077	1405	98	1534
074	1041	970	2090
075	1163	1254	2516
072	645	520	1226
073	691	567	1315
070	880	834	1770
071	631	666	1352
079	857	398	1285
151	2226.0	682.0	2988.0
150	1525.0	779.0	2372.0
239	1665	625	2361
234	1203	1046	2330
235	1320	1017	2397
236	974	2107	3174
237	2156	551	2798
230	3467	1388	5015
231	1784	1189	3056
232	1758	1921	3792
233	1276	1624	3021
107.1	2085	421	2565
119	652	532	1254
037	833	625	1550
063	1147.0	266.0	1459.0
064	484.0	228.0	736.0
201	3089	1405	4626
200	696	704	1447
144	1262	1263	2592
145	4240	2442	6916
205	1608	817	2483
143	1769	2154	4097
207	1472	2146	3776
206	2734	1351	4240
209	1459	1784	3364
208	1288	2200	3613
081	2234	445	2712
080	1471	491	2001
087	1112	835	2037
086	731	878	1670
148	4021	3072	7369
149	2993	591	3677
003	1336	108	1467
002	1670	498	2299
082	1801	75	1899
007	884	359	1304
006	1224	178	1438
005	789	155	988
004	1094	347	1476
009	1623	683	2434
008	983	818	1888
120	1212	218	1467
121	1326	1652	3095
023	1054	156	1251
122	2323	1259	3748
123	1350	321	1708
078.1	925	286	1259
124	1454	167	1650
125	670	204	896
