PRECINCT	DEM	REP	TOTAL
w18	516	567	1124
w17	812	891	1763
w16	1090	1239	2405
w15	2316	578	2989
w13	943	405	1401
w12	747	525	1329
h08	1648	2585	4401
w21	1334.0	1352.0	2768.0
w03	1227.0	200.0	1472.0
h03	1420	2111	3656
h02	964	1873	2934
h01	561	677	1285
h06	864	1165	2145
h05	1054	1675	2843
h04	1250	1575	2934
w26	1000	644	1705
w27	1672	430	2172
w24	1613	1040	2802
w25	2040	378	2510
w28	1367	879	2375
w29	2038	143	2212
w08	745	416	1185
wb	657	968	1675
cf02	658	1284	2008
fp06	966	1593	2671
fp07	1240	2169	3498
fp04	1190	2157	3457
m02	1872	2621	4674
fp03	525	803	1370
fp08	1438	2218	3777
m06	848	1280	2209
cf01	1166	1260	2515
cf06	807	1186	2066
cf05	856	1192	2134
m07	560	940	1564
h10	1358	1262	2740
h11	1635	2526	4316
h12	924	1576	2599
h13	1294	1908	3322
m04	1993	2567	4718
w31	1290	1543	2942
w30	1470	1266	2833
m03	1011	1677	2774
