PRECINCT	DEM	REP	TOTAL
19-14	1102	1079	2246
13-05	1162	421	1647
17-06	731	825	1592
15-03	1239	2264	3614
12-08	1768	1484	3393
01-06	1667	553	2323
07-07a	291	187	485
13-11	1326	1197	2630
13-10	2491	2040	4695
19-04	2989	2802	5968
12-01	1614	2639	4408
09-03	921	1247	2224
09-02	1652	958	2676
09-01	788	980	1827
04-20	1536	838	2493
01-49	1631	546	2288
04-21	977	377	1433
01-47	912	886	1869
01-46	1963	270	2272
01-45	851	552	1469
01-44	1889	907	2884
01-43	1196	493	1757
01-42	1086	1223	2381
01-41	1213	344	1652
01-40	2968	159	3165
17-01	1512	578	2145
07-12	1394	695	2167
06-08	1008	749	1834
05-07	3674	1403	5277
05-06	2380	1616	4093
05-05	3643	1896	5746
05-03	1539	1183	2805
05-01	1927	1231	3283
05-08	1635	647	2362
04-13	2185	1450	3765
04-12	1297	958	2342
04-11	837	338	1228
04-10	1337	839	2297
04-17	1018	490	1593
04-16	1077	634	1792
04-15	1198	693	2008
04-14	812	566	1445
01-50	1972	101	2106
01-51	536	381	954
04-19	900	532	1511
04-18	1347	718	2165
15-01	1262	2003	3390
07-10	2514	1232	3910
14-02	1622	2986	4779
02-06	919	1252	2239
02-04	863	1100	2035
02-05	414	426	883
02-02	2017	2416	4614
02-03	1038	1381	2523
02-01	1295	1213	2630
13-01	2670	595	3370
01-07a	210	21	234
16-07	1453	1168	2711
16-06	760	378	1179
16-05	1032	1007	2119
16-04	1124	966	2173
07-09	1615	880	2601
16-02	3018	633	3747
16-01	916	1098	2079
07-05	869	576	1506
07-04	2184	1015	3355
07-07	1715	1158	3010
07-06	1523	1262	2889
07-01	898	450	1407
07-03	735	553	1342
07-02	794	521	1358
17-11	2513	714	3316
17-10	609	313	946
04-08	1353	536	1967
04-09	1109	870	2054
04-04	846	491	1383
04-05	1807	984	2916
04-06	1438	942	2465
04-07	1118	1234	2427
19-11	1046	1183	2350
04-01	1090	629	1777
04-02	1181	764	2044
04-03	1029	531	1624
06-10	965	1239	2325
01-29	1115	840	2033
01-28	2743	420	3230
17-05	2215	807	3108
16-03	724	435	1215
01-27	1273	212	1528
01-26	1861	58	1944
01-21	2165	775	3084
01-20	1815	189	2068
01-22	2886	106	3029
03-00	1402	1451	2989
17-07	2414	387	2861
11-02	2107	1284	3518
11-01	2434	1241	3849
18-04	1477	1620	3220
17-02	389	369	785
17-03	3402	1427	5022
14-01	222	386	631
07-13	1101	702	1876
08-11	1985	1147	3264
08-10	1292	767	2160
18-08	1766	1226	3137
17-08	3932	2016	6145
17-09	2455	223	2718
19-09	1407	1974	3485
18-01	2687	922	3819
19-07	1169	977	2234
18-03	1103	806	1968
18-02	1706	2081	3920
18-05	2185	1843	4150
19-03	992	1218	2325
18-07	1080	1550	2740
18-06	2126	965	3244
20-06a	2144	1388	3713
06-07	1429	1185	2710
06-04	1510	1181	2843
20-06b	1469	1293	2921
01-36	1007	902	1994
06-06	2181	1904	4305
01-34	1149	37	1194
01-35	1586	46	1653
01-32	1386	476	1948
01-33	808	391	1236
01-30	631	436	1103
01-31	2027	431	2609
10-01	327	680	1022
10-03	1096	925	2084
10-02	1464	1344	2893
01-38	1217	511	1788
06-05	1132	1520	2749
08-08	1883	1561	3600
08-09	1050	579	1695
01-37	876	615	1563
08-02	1894	1217	3254
08-03	2413	1597	4201
08-04	737	689	1492
08-05	936	804	1796
08-06	1233	444	1749
08-07	1070	1081	2247
06-09	1845	2082	4143
15-02	1859	2189	4242
20-10	1612	932	2642
01-09	789	197	1031
20-12	1055	1021	2178
20-15	1885	871	2852
20-14	2835	1682	4685
15-04	720	1020	1816
20-16	1587	722	2393
01-03	1029	674	1770
01-02	1136	414	1635
01-01	1248	353	1664
01-07	1288	360	1711
19-17	2527	1279	3935
01-05	526	365	920
01-04	620	394	1059
19-16	1063	1093	2225
07-11	582	426	1034
19-10	2824	3507	6561
19-13	1015	680	1754
19-12	2130	2186	4488
10-04	3009	2079	5247
01-14	2353	471	2918
01-15	861	629	1547
01-16	1453	654	2176
01-17	473	403	917
01-10	859	417	1323
01-11	828	923	1805
01-12	977	515	1552
01-13	1052	236	1325
01-18	1377	785	2244
01-19	1331	47	1387
20-03	1519	1316	2997
12-09	1318	1769	3210
20-01	1533	1145	2838
20-04	1690	1063	2885
20-05	1654	1413	3195
12-02	1652	1668	3463
20-08	1945	1578	3708
20-09	1260	986	2343
12-07	812	1217	2106
12-06	1133	1608	2853
12-05	2612	3123	5963
12-04	997	2171	3293
16-09	1549	958	2592
01-25	512.0	21.0	496.0
01-23	3546.0	1425.0	5320.0
20-17	1674	1045	2852
19-05	951	1436	2483
16-08	4836	750	5694
17-04	2858	1602	4607
01-48	1353	403	1848
19-15	951	1082	2102
01-39	1435	597	2128
13-02	883	763	1716
20-11	1456	1452	3091
13-06	1414	990	2499
13-07	1268	527	1866
13-08	1627	366	2048
13-09	2510	652	3256
