PRECINCT	DEM	REP	TOTAL
30	829	225	1063
02	629	1682	2350
03	407	1702	2164
26	857	663	1546
01	500	1048	1580
06	813	1007	1865
07	1046	1941	3052
04	677	2168	2900
05	668	1837	2564
08	403	1445	1906
09	474	1308	1829
28	870	1202	2099
29	857	387	1256
14	596	1525	2176
24	241	1601	1875
25	488	946	1459
27	872	269	1151
20	999	70	1084
21	860	371	1246
11	919	711	1671
10	907	258	1173
13	887	468	1376
12	1205	947	2202
15	607	1426	2073
22	643	507	1174
17	723	55	783
16	613	969	1617
19	882	72	967
18	742	164	918
23	556	566	1154
