PRECINCT	DEM	REP	TOTAL
06s	700	1179	1955
10n	916	1509	2508
09n	545	865	1454
06w	329	273	627
08s	286	723	1034
063	964	530	1551
12n	1721	294	2093
12s	483	192	697
06e	728	680	1446
08n	643	1194	1893
12w	695	640	1377
10s	2379	2337	4877
035	926	1532	2554
02	396	1973	2448
01	418	1829	2336
07	436	1655	2168
04	570	2035	2693
05	320	1430	1822
06n	821	420	1280
1210	596	587	1218
03n	956	1239	2276
064	1036	1805	2946
03c	597	1194	1848
09s	1080	1746	2937
03n2	288	243	536
124	518	695	1264
125	510	869	1437
126	506	886	1436
127	1801	639	2505
128	752	344	1137
03s	1699	2165	3979
03w	632	1233	1937
129	356	781	1181
11	1132	1017	2216
13	1014	1030	2108
103	581	1309	1959
12e	543	308	888
