PRECINCT	DEM	REP	TOTAL
04.1	955	195	1174
66.1	671	518	1241
19.1	548	323	922
33.2	518	421	980
33.3	719	702	1480
30.3	906	1137	2122
30.2	752	909	1719
35.1	776	443	1269
34.1	523	362	926
02.1	2203	161	2439
38.3	873	1440	2403
38.2	436	825	1321
12.1	1357	195	1605
15.1	1351	273	1700
50.1	389	635	1055
42.1	716	607	1403
37.1	478	544	1069
51.2	577	766	1409
62.1	1005	755	1825
36.1	696	693	1441
39.3	879	1030	1967
13.1	1415	197	1688
10.1	1003	77	1121
06.1	856	270	1166
07.1	1170	207	1418
67.1	1133	748	1935
39.2	596	563	1206
11.1	814	79	931
40.2	922	1707	2733
17.1	1040	243	1321
08.2	1279	463	1798
08.3	1293	434	1798
44.1	1639	1731	3492
47.1	952	1823	2911
23.3	510	266	790
26.1	934	295	1301
09.1	1667	588	2392
16.2	1519	422	2033
25.1	1060	522	1677
71.1	1483	1268	2856
46.1	495	501	1034
70.1	1281	647	2037
20.1	639	122	800
69.1	890	1210	2215
45.1	1169	1418	2715
31.1	479	579	1076
41.1	765	1346	2203
27.2	450	176	642
01.1	1194	207	1470
68.1	1521.0	1583.0	3318.0
05.1	1192.0	619.0	1778.0
56.2	819.0	702.0	1581.0
52.1	817	1671	2616
28.1	1585	247	1904
53.1	688	1426	2181
21.1	1291	556	1932
29.2	1287	787	2154
55.1	1067	1173	2342
59.1	1338	1389	2809
63.1	186	214	426
18.2	1954	1573	3645
58.1	697	684	1441
14.3	679	215	947
14.2	1225	302	1586
24.1	929	725	1731
03.1	1561	155	1771
61.1	947	855	1866
64.1	581	751	1411
43.2	609	473	1135
48.1	952	1525	2602
65.1	1263	972	2335
23.2	270	134	411
49.1	913	1798	2880
57.1	921	1187	2187
60.4	624	498	1162
22.2	1395	443	1880
54.2	1244	1118	2477
681	99	179	293
32.1	650	752	1470
60.2	613	340	1014
