PRECINCT	DEM	REP	TOTAL
0047-b	329	511	871
0015	198	697	942
0014	195	1034	1281
0013	309	1474	1865
0012	147	1102	1296
0011	293	1398	1795
0035	484	442	979
0034	673	649	1376
0051	685	1422	2228
0036	362	870	1303
0031	764	468	1288
0019	147	265	424
0018	113	233	353
0047-a	650	710	1407
0039	534	508	1096
0038	506	830	1408
0066	362	801	1239
0053	321	1004	1387
0064	137	385	541
0065	154	532	719
0062	151	393	578
0052	283	510	837
0022	289	934	1273
0020	252	398	684
0021	263	601	913
0001	607	1383	2091
0024	494	1152	1719
0003	161	605	798
0040	360	747	1160
0029-b	168	493	696
0029-a	111	600	763
0070	422	1135	1622
0048	547	879	1476
