PRECINCT	DEM	REP	TOTAL
03-00	1162	2278	3611
11-02	519	1493	2119
10-00	776	2705	3641
05-00	409	1490	1978
04-10	862	1479	2466
01-10	768	1182	2058
11-01	1417	1632	3219
12-09	509	1014	1603
06-00	177	1292	1547
12-08	377	408	853
12-03	559	842	1474
12-02	704	343	1111
12-01	216	167	410
12-07	765	79	856
12-06	516	496	1067
12-05	535	973	1571
12-04	781	801	1681
02-06	1109	1081	2310
02-07	769	1475	2324
02-05	1016	1809	2951
02-02	1267	1761	3152
02-03	1446	2424	4072
02-01	686	1108	1902
02-08	2015	2453	4683
02-09	2240	2101	4479
08-00	529	2091	2724
12-10	278	545	866
07-00	121	653	807
12-11	483	588	1137
09-00	288	1459	1842
04-08	363	659	1079
04-09	659	1413	2161
12-12	486	780	1369
04-04	471	464	984
04-05	422	552	1039
04-06	559	589	1220
04-07	305	818	1188
04-01	888	909	1904
04-02	928	701	1707
04-03	844	974	1916
01-09	188	534	774
01-08	1161	1453	2742
01-02	465	1247	1812
01-07	591	1319	1985
01-06	1103	1328	2518
01-04	1536	1760	3461
