PRECINCT	DEM	REP	TOTAL
bogu	337	1594	2017
atsl	105	345	463
dasw	99	398	516
hais	143	609	770
ibsp	88	154	255
cisl	27	99	133
bft1	581	479	1094
bft2	876	1453	2450
pele	163	645	846
npt1	562	1710	2411
merr	131	235	378
mcrk	56	302	365
wiha	350	927	1335
cccp	430	1732	2253
mhd4	521	1494	2100
mhd3	639	1736	2474
mhd2	632	1151	1864
stel	181	780	1014
npt2	338	1497	1932
mhd1	544	1175	1774
bcrk	282	1039	1388
emis	698	1825	2605
masm	145	352	511
nriv	294	179	483
pknl	342	651	1014
wild	577	1715	2407
otbe	286	1084	1427
abch	241.0	829.0	1109.0
