PRECINCT	DEM	REP	TOTAL
22	632	1549	2271
29	406.0	1250.0	1762.0
02	301	1213	1577
03	343	1156	1587
26	517	788	1361
01	360	1881	2341
06	387	1213	1670
07	701	1163	1964
04	210	256	489
05	596	1485	2205
23	770	2084	2985
08	467	1309	1848
09	257	1361	1679
28	591	1361	2072
40	401	603	1067
41	495	1777	2378
24	666	2098	2900
25	484	696	1251
13	531	372	955
27	518	1906	2572
20	519	1539	2183
21	231	947	1241
11	328	367	724
10	196	128	341
39	447	1272	1781
38	698	1443	2220
15	432	28	464
14	453	642	1140
17	386	564	1012
16	641	871	1604
19	261	445	747
32	706	1159	1966
31	702	2264	3122
30	925	1482	2555
37	631	908	1649
36	595	1023	1675
35	480	863	1442
34	827	2446	3432
33	943	3090	4230
12	703	222	960
