PRECINCT	DEM	REP	TOTAL
g2e-2	1400	258	1710
ah49	1482	574	2129
g2e-1	1034	236	1320
cl57-1	1354	546	1969
cl57-2	1459	414	1920
cc12	320	908	1260
lr63	1896	585	2564
cc13	1302	77	1407
cc34	571	860	1471
g10a	1372	1708	3176
g10b	794	853	1726
g10c	790	1403	2270
g5b-1	1716	242	2006
g5b-2	1135	331	1509
g2c-1	946	659	1672
cu02	638	555	1235
g3a-1	1460	708	2252
cc10	450	322	794
g2c-2	961	934	1966
g5a-1	1177	443	1678
g5c	849	486	1385
cc19	473	20	501
li65	728	1413	2209
g7a	228	628	883
g9a	879	950	1892
g7b	208	617	850
g1b	1040	1645	2747
g1a	920	427	1389
g5a-2	858	608	1507
cc21	1444	604	2111
g3c	355	499	889
g3b	377	284	690
cc24	487	338	876
cc25	651	492	1188
cc26	1475	523	2071
cc27	1572	501	2163
cc06	329	385	774
cc07	272	461	764
cc04	373	358	780
cc05	1092	160	1281
al51	1044	2052	3205
cc01	1267	165	1466
g8d	803	995	1890
cc14	687	1097	1848
g8a	1279	825	2184
g8b	700	690	1456
g8c	809	529	1390
eo61-2	575	806	1416
g9b-1	1141	1271	2491
g9b-2	1208	1326	2632
eo61-1	653	1315	2028
g11b	728	811	1648
sh77	672	996	1723
cc29	879	421	1353
cc18	352	761	1136
g3a-2	824	593	1472
cc08	347	649	1020
g4a	492	432	966
g4b	503	648	1208
g4c	766	369	1173
g6b	202	576	800
g6c	512	766	1325
g6a	788	2153	3027
cc03	450	240	724
cc33	912	565	1532
cc32	644	149	816
g2d	1324	1262	2658
g2b	1708	1054	2865
cc31	685.0	483.0	1250.0
cc17	1432.0	198.0	1653.0
g2a	1923	937	2949
g11a-2	1015	335	1394
g11a-1	1079	331	1466
mr02	1096	596	1761
cc15	727	1099	1888
mb62	1297	341	1693
cc16	1343	51	1411
