PRECINCT	DEM	REP	TOTAL
56	97	739	873
54	122	1065	1238
42	142	1387	1597
22	116	467	614
50	332	1990	2393
60	926	1819	2842
82	321	1461	1850
62	602	259	895
64	699	229	956
66	416	593	1060
68	545	769	1385
52	521	2371	3009
84	773	2605	3494
80a	562	2944	3618
24	192	674	908
26	183	506	717
06	295	1434	1825
04	875	3103	4098
46	354	1396	1814
08	186	549	767
48	303	1401	1773
28	424	1210	1704
40	605	727	1374
86a	763	1453	2314
78	373	1733	2222
76	325	1870	2258
38	494	133	655
72	309	1577	1946
70	285	1309	1650
20	279	1537	1901
58	416	1587	2120
10	387	1218	1690
12	95	425	559
14	139	1122	1309
16	317	1806	2210
18	221	1106	1379
30	916	222	1171
36	436	322	792
34	520	525	1099
74	425	2150	2689
88	421	1310	1780
32	346	311	701
44	695	2121	2902
