PRECINCT	DEM	REP	TOTAL
45	2391	1656	4189
54	4333	917	5386
35.3	4989	1670	6833
48	1160	317	1500
43	3846	1309	5248
55-49	1869	29	1928
42	918	18	949
02	2086	271	2428
03	1678	238	1960
26	422	694	1147
01	831	89	938
06	1405	133	1560
07	1581	169	1787
04	1129	202	1349
05	3098	543	3719
46	1896	485	2457
47	1293	62	1374
08	1652	118	1802
09	1830	317	2181
28	1228	1531	2832
29	2040	1037	3160
40	1433	166	1636
41	1054	22	1082
30-2	4498	917	5557
14	1324	117	1462
51	3472	883	4468
24	1969	940	2979
34-1	2031	331	2435
25	1147	1369	2598
34-2	3625	408	4109
30-1	4407	1613	6194
39	1827	959	2825
53-1	1829	605	2510
53-2	2331	845	3248
27	1764	752	2567
20	1517	92	1633
38	3634	991	4747
21	1190	175	1395
10	852	35	904
13	769	26	812
12	462	26	498
15	837	84	938
22	3200	224	3503
17	1804	88	1921
16	1340	367	1739
19	1981	239	2273
18	1371	79	1477
31	2228	943	3260
23	3845	521	4457
37	2395	1639	4132
36	1856	309	2217
52	2140	227	2419
33	3864	1265	5300
55-11	1250	31	1300
32	1274	1585	2939
44	2920	2190	5254
50	2210	746	3044
