PRECINCT	DEM	REP	TOTAL
091	397	1091	1554
092	300	970	1318
133	1390	2779	4317
132	1105	1741	2950
012	409	1432	1904
013	1060	1737	2896
014	409	1057	1523
015	451	966	1469
405	1535	41	1599
404	1336	282	1653
401	1105	99	1220
122	2181	1776	4108
123	906	1062	2033
021	535	1958	2586
011	1304	2064	3514
131	937	1441	2451
708	1542	1305	2952
709	1167	933	2185
704	853	451	1339
705	973	566	1599
706	493	386	916
707	547	433	1031
701	477	623	1114
702	764	462	1280
703	548	338	919
403	991.0	71.0	1084.0
402	859.0	27.0	896.0
111	296	991	1343
112	623	1413	2133
032	643	1220	1944
033	948	707	1710
031	554	923	1527
034	542	990	1592
301	601	25	634
302	651	35	702
303	482	19	509
304	1407	51	1478
305	980	38	1028
306	851	151	1029
101	762	788	1603
043	805	1003	1883
042	1080	1147	2297
902	938	300	1271
903	1569	904	2523
901	778	587	1390
906	1297	1026	2389
907	799	559	1404
904	1187	381	1611
905	1009	463	1520
908	910	1256	2211
909	516	455	1013
055	905	1704	2671
074	1007	1244	2332
606	734	421	1200
054	721	1316	2090
601	1020	344	1421
051	692	1256	2018
052	349	591	982
053	539	1183	1781
071	927	1727	2735
506	576	434	1056
507	2098	1305	3533
504	654	121	816
505	908	245	1185
502	870	52	939
503	866	166	1063
501	1345	126	1499
061	546	897	1515
063	831	1880	2805
062	494	979	1529
065	877	1853	2832
064	321	517	870
067	526	747	1350
066	464	1097	1631
068	586	1295	1973
605	1571	817	2460
604	834	256	1134
607	989	687	1741
075	138	385	537
072	1418	2544	4078
073	610	1648	2337
603	1089	307	1443
602	1763	1130	3005
201	2229	437	2735
203	1068	35	1120
205	537	17	560
204	954	94	1071
207	1170	275	1491
206	1048	132	1194
083	988	516	1548
082	1826	1432	3340
081	1411	874	2367
809	886	1171	2107
808	1421	801	2297
803	471	969	1451
802	481	793	1291
801	546	469	1034
807	665	796	1496
806	590	821	1450
805	843	1035	1916
804	455	555	1038
