PRECINCT	DEM	REP	TOTAL
39	431.0	2096.0	2709.0
43	686.0	1856.0	2627.0
09	599	599	1267
42	403	1198	1689
22	714	1934	2759
02	855	568	1491
03	792	403	1249
26	525	1169	1793
27	932	2154	3207
06	831	243	1117
07	660	41	710
04	1257	1822	3215
05	855	471	1403
46	766	2315	3249
23	775	1549	2437
08	667	330	1036
45	877	1275	2287
28	722	1716	2565
29	636	2032	2786
40	839	2078	3039
41	475	1592	2169
24	646	1052	1790
25	357	1008	1440
01	416	371	839
20	498	1677	2284
38	287	1637	2029
21	544	845	1466
11	577	395	1033
10	791	976	1856
13	558	1065	1708
12	584	1196	1873
15	1488	2584	4248
14	311	516	864
17	1070	1730	2927
16	914	2124	3131
19	919	1947	2999
18	1752	2240	4178
31	482	1718	2314
30	369	911	1357
37	279	736	1059
36	394	1571	2047
35	252	799	1098
34	285	1152	1502
33	235	1077	1383
32	451	1106	1645
44	826	2424	3394
